elapsed,process_count,total_cpu_percent,total_rss_kb,cartographer_cpu_percent,cartographer_rss_kb
1.1550000635907054e-06,1,0.0,3768,0,0
0.5156797839999854,1,32.0,28812,0,0
1.0315182890001324,5,177.4,229760,34.2,94192
1.5509860720001143,5,98.0,240860,25.1,97772
2.070403051000085,5,77.8,242372,27.3,99260
2.590018698999984,5,68.2,242392,28.200000000000003,99272
3.1096327410000413,5,62.9,242436,29.099999999999998,99308
3.6292001360000086,5,59.9,242576,30.4,99344
4.148722839000129,5,57.2,242636,30.4,99388
4.66820934600014,5,55.4,242688,31.3,99424
5.187600671000155,5,54.0,242736,31.599999999999998,99460
5.707278625000072,5,52.6,242860,31.900000000000002,99560
6.226817185000073,5,51.5,242908,31.9,99592
6.746327099000155,5,50.4,243008,32.2,99680
7.2658003530000315,5,49.9,243992,32.6,100648
7.785334767999984,5,49.199999999999996,244172,32.699999999999996,100812
8.304712651000045,5,49.2,244516,33.1,101140
8.824056615000018,5,49.1,244656,33.5,101268
9.343466156000204,5,49.0,244868,33.800000000000004,101460
9.862926174999984,5,48.5,244992,33.9,101568
10.382364650999989,5,48.6,245736,34.2,102296
10.901745993000077,5,48.199999999999996,245868,34.5,102408
11.422213492000083,5,48.1,245900,34.5,102428
11.941576818000158,5,47.699999999999996,245916,34.4,102440
12.461362575000066,5,47.6,245988,34.7,102508
12.980985506000025,5,47.300000000000004,246108,34.800000000000004,102628
13.500556130000177,5,47.0,246180,34.8,102700
14.020087376999982,5,47.1,246308,35.1,102828
14.540584093999996,5,47.199999999999996,246780,35.4,103300
15.059887137000032,5,47.4,247428,35.8,103948
15.579626354000084,5,47.6,247536,36.1,104056
16.099260607000133,5,47.6,247588,36.2,104108
16.6187877440002,5,48.099999999999994,247648,36.8,104164
17.138700298999993,5,47.7,247756,36.7,104272
17.658241346000068,5,47.5,248012,36.6,104524
18.17791920400009,5,47.6,248280,36.800000000000004,104788
18.69743968800003,5,47.400000000000006,248448,36.7,104956
19.21670691500003,5,47.4,248892,36.8,105400
19.736086986000146,5,47.7,249024,37.1,105532
