stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,medium_outlier_streak,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw,longitudinal_residual,lateral_residual,yaw_residual,wheel_forward_velocity,scan_forward_velocity,scan_match_yaw_rate,scan_match_delta_forward,scan_match_delta_lateral,scan_match_delta_translation,scan_match_delta_yaw,prediction_delta_dt,prediction_delta_forward,prediction_delta_lateral,prediction_delta_x,prediction_delta_y,prediction_delta_forward_velocity,prediction_delta_translation,prediction_delta_yaw,adaptive_odometry_weight,wheel_twist_expected_delta,odom_pose_delta_dt,odom_pose_delta_forward,odom_pose_delta_lateral,odom_pose_delta_local_x,odom_pose_delta_local_y,odom_pose_delta_forward_velocity,odom_pose_delta_translation,odom_pose_delta_yaw,odom_latest_age,odom_history_size,front_point_count,front_point_fraction,front_weak,longitudinal_prior_active,longitudinal_replacement_active,longitudinal_motion_loss,straight_longitudinal_mismatch,straight_longitudinal_mismatch_streak,motion_loss_prior_hold_count,longitudinal_blend_weight,longitudinal_prior_weight,ceres_occupied_space_weight_scale,ceres_rotation_weight,longitudinal_prior_target_delta,longitudinal_prior_wheel_delta_scale,trigger_scan_forward_delta,odom_prior_translation,odom_prior_yaw_rate,imu_yaw_rate,imu_delta_dt,imu_delta_yaw,imu_delta_yaw_rate,command_latest_age,command_speed,command_steering_angle,command_expected_delta
639155374320057414,nan,nan,0,0,219,0,0,1,1,0,0,7.4338943513110487e-07,0,0,7.4338943513110487e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.016971099999999999,2,0,nan,0,0,0,0,0,0,0,0,0,1,nan,nan,nan,nan,nan,nan,0.0048500685952603817,nan,nan,nan,nan,nan,nan,nan
639155374320257891,0.50923901796340942,49.735378800207521,0.0076205364169409798,0.0012970077113453793,223,0,0,0,0,0,0,-1.7377185297021643e-05,-0.0055019808206093505,-0.0052726447188835438,-0.001314384896642401,-0.0055018891960543631,-0.0052727403270276781,-0.0012970077113453793,0,-0.27444468643466374,0.065599958403085246,-0.0055019847402362088,-0.0052726406287676719,0.0076205364169409798,-0.0013151282860775321,0.020047700000000002,0,0,0,0,0,0,-1.8120574732152745e-05,1,0,0.020047700000000002,0,0,0,0,0,0,0,0.017083899999999999,3,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,-0.0055017458763942755,0,0.0045193649975191026,-0.0045299851335585117,0.020047700000000002,-9.0602873660763727e-05,-0.0045193649975191026,-0.054993800000000002,0,0,0
639155374320558511,0.51847237348556519,47.542000571732459,0.0067588344029880778,0.0010166393953146189,216,0,0,0,0,-0.0055123871875390534,-0.013189930563827394,-0.0013431826706733403,-0.0074883976582741235,-0.0067264001735096862,-0.0023598220659879592,-0.001984690387637027,0.0064608704175394506,-0.0010166393953146189,0,-0.066013715924681096,0.034776035172162802,-0.001984504328127763,-0.0014563651144048858,0.0024615557630923942,-0.0010454371693455582,0.030061999999999998,-9.4698283503030778e-19,-0.0079172926839305956,-1.0406366929702898e-05,-0.0079172858449438506,-3.1500992449947035e-17,0.0079172926839305956,-2.8797774030939281e-05,1,0,0.030061999999999998,0,0,0,0,0,0,0,0.0070638000000000003,5,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,-0.0019843994728011355,0,0.0047897302293491368,-0.0071992995217442513,0.030061999999999998,-0.00014398887015469375,-0.0047897302293491368,-0.055786799999999998,0,0,0
639155374320758332,0.52097702026367188,47.764688815702165,0.0055134056021842641,7.0603064941987363e-05,215,0,0,0,0,-0.0074906853124840798,-0.0076958164682636616,-0.0023865634420993918,-0.0049736901429328958,-0.0027904748236222982,-0.0023159603771574044,0.0025052811036217234,0.0049113346379607197,7.0603064941987363e-05,0,0.12538283957005047,0.0021950490103920376,0.0025054124385727053,0.0039418486475567499,0.0046706811331539014,4.3861688830554735e-05,0.019982099999999999,-1.0799670077492329e-19,-0.00096941899398367011,-2.2876542099562955e-06,-0.00096941629475397542,-5.4046722203834078e-18,0.00096941899398367,-2.6741376111432628e-05,1,0,0.019982099999999999,0,0,0,0,0,0,0,0.0069360000000000003,6,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,0.0025051489068309315,0,0.0066913327706879921,-0.004456792026758194,0.019982099999999999,-0.00013370688055716452,-0.0066913327706879921,-0.035804700000000002,0,0,0
639155374321057241,0.52056711912155151,48.339202317491868,0.0055802868312294441,0.00013663758741092567,212,0,0,0,0,-0.0049600343652661119,0.0031058925695437029,-0.0022904728819919092,-0.0079005183218725239,-0.0016368023626370557,-0.0024271104694028349,-0.0029296132386979019,-0.0047494175843400778,-0.00013663758741092567,0,-0.098006155284338647,0.0037185261148185715,-0.0029294921869886382,0.0011468909549923792,0.0031459948086846562,-0.00011115009224543044,0.029890900000000001,1.8295911660692887e-19,0.0058963832062930667,1.3655777666783837e-05,0.0058963673931660011,6.1208968818914404e-18,0.0058963832062930667,2.5487495165495231e-05,1,0,0.029890900000000001,0,0,0,0,0,0,0,0.017035399999999999,7,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,-0.0029294191025975285,0,0.0042634205001346901,0.0042478167451918125,0.029890900000000001,0.00012743747582747602,0.0042634205001346901,-0.039476799999999999,0,0,0
639155374321257130,0.50256830453872681,50.403719836983448,0.0042064783447908257,0.00071095326337230775,222,0,0,0,0,-0.0078986573584889468,-0.0008700635788827819,-0.0024463543305421678,-0.0048102847757936834,-0.0037260073555790861,-0.0017354010671698601,0.0030953499847432716,-0.0028483799846832211,0.00071095326337230775,0,0.15485070065592574,0.034604675706665936,0.0030952951703412338,-0.0020816985085038487,0.0037301904605321315,0.00069170940223297478,0.0199889,3.4220131069073734e-19,0.00076674104213723818,1.8609633835771355e-06,0.00076673878375427382,1.7119566894163128e-17,0.00076674104213723818,-1.924386113933297e-05,1,0,0.0199889,0,0,0,0,0,0,0,0.016785499999999998,8,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,0.0030953953165516841,0,0.0048136368532867933,-0.0048108450137078762,0.0199889,-9.6219305696664388e-05,-0.0048136368532867933,-0.052604900000000003,0,0,0
639155374321557239,0.51573431491851807,48.489339661064797,0.0029376623818740759,6.1296963038571581e-05,218,0,0,0,0,-0.0048157142020631956,-0.0068546333094135639,-0.0017638937667922791,-0.003885390602323931,-0.0040681734999696443,-0.0017025968037537075,0.00092540713593126575,0.0027880964658070139,6.1296963038571581e-05,0,0.030838347931942532,0.0010930782954244158,0.00092548657595073415,-0.00034056056762400222,0.00098615764585861061,3.2804263416152599e-05,0.0300109,-9.0717228650935566e-19,-0.0031286306649517316,-5.4294262695122469e-06,-0.0031286259538344779,-3.0228093343063875e-17,0.0031286306649517311,-2.8492699622418996e-05,1,0,0.0300109,0,0,0,0,0,0,0,0.0069007000000000001,10,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,0.00092551083232766322,0,0.0047470585058126775,-0.0071264887228608131,0.0300109,-0.00014246349811209368,-0.0047470585058126775,-0.055865900000000003,0,0,0
639155374321757236,0.5147712230682373,48.98632441743284,0.0034638023244055491,0.00051805721005773828,218,0,0,0,0,-0.0038857770486123056,-0.0042951479158193483,-0.0017352788356620225,-0.007290466967619447,-0.0049323394866741645,-0.0022533360457197608,-0.0034035790884275681,-0.00064309869489515459,-0.00051805721005773828,0,-0.17018255795746554,0.027537375158930049,-0.0034036001043819234,-0.00086996220350224333,0.003513022616789012,-0.00055073924196605327,0.019999699999999999,-1.0323214044661785e-19,-0.00022697474483089126,-3.8644628837453468e-07,-0.00022697441584970408,-5.161684447597607e-18,0.00022697474483089126,-3.2682031908314983e-05,1,0,0.019999699999999999,0,0,0,0,0,0,0,0.0069211999999999997,11,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,-0.0034035290126900272,0,0.0081706305365367195,-0.0054467511363327503,0.019999699999999999,-0.00016341015954157343,-0.0081706305365367195,-0.069191799999999998,0,0,0
639155374322057147,0.51133054494857788,49.276277079578037,0.0031540071795452913,0.00026077319186192886,218,0,0,0,0,-0.0072934129462411471,-0.0062397226624774822,-0.0022270443732437719,-0.010393718230784639,-0.0068192642323885106,-0.001966271181381843,-0.0030990069324878726,-0.00058644464445960264,0.00026077319186192886,0,-0.10333037177050061,0.009571668406224438,-0.0030989915128062607,-0.0018939126172768037,0.003631893913418385,0.00028706486433791771,0.0299911,-1.415815571335563e-18,-0.0013073864949446311,-2.9459786217000267e-06,-0.0013073831758033177,-4.7207857375540181e-17,0.0013073864949446313,2.6291672475988858e-05,1,0,0.0299911,0,0,0,0,0,0,0,0.017054400000000001,12,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,-0.0030991159914374247,0,0.0043832457755784045,0.0043817409314215183,0.0299911,0.00013145836237994949,0.0043832457755784045,-0.0741309,0,0,0
639155374322257046,0.51509380340576172,47.726403698699066,0.0024460597873812114,0.00032297015574672119,214,0,0,0,0,-0.010396199176346439,-0.0080810140805252159,-0.001966271181381843,-0.0097737021804184081,-0.005715489619965995,-0.0022892413371285642,0.00061784453299400092,0.0023667438848537967,-0.00032297015574672119,0,0.030907835106428829,0.016156666904122641,0.00061784453299400168,0.0011049915976104252,0.0012659930085668781,-0.00032297015574672119,0.019989900000000001,7.9621097041904232e-19,-0.0012617522872433718,-2.4809455617998827e-06,-0.0012617498481367053,3.9830663005770024e-17,0.0012617522872433715,0,1,0,0.019989900000000001,0,0,0,0,0,0,0,0.016871199999999999,13,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,0.00061784453299400168,0,0,0.0043817409314215183,0.019989900000000001,0,0,-0.085992700000000005,0,0,0
