stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,medium_outlier_streak,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw,longitudinal_residual,lateral_residual,yaw_residual,wheel_forward_velocity,scan_forward_velocity,scan_match_yaw_rate,scan_match_delta_forward,scan_match_delta_lateral,scan_match_delta_translation,scan_match_delta_yaw,prediction_delta_dt,prediction_delta_forward,prediction_delta_lateral,prediction_delta_x,prediction_delta_y,prediction_delta_forward_velocity,prediction_delta_translation,prediction_delta_yaw,adaptive_odometry_weight,wheel_twist_expected_delta,odom_pose_delta_dt,odom_pose_delta_forward,odom_pose_delta_lateral,odom_pose_delta_local_x,odom_pose_delta_local_y,odom_pose_delta_forward_velocity,odom_pose_delta_translation,odom_pose_delta_yaw,odom_latest_age,odom_history_size,front_point_count,front_point_fraction,front_weak,longitudinal_prior_active,longitudinal_replacement_active,longitudinal_motion_loss,straight_longitudinal_mismatch,straight_longitudinal_mismatch_streak,motion_loss_prior_hold_count,longitudinal_blend_weight,longitudinal_prior_weight,ceres_occupied_space_weight_scale,ceres_rotation_weight,longitudinal_prior_target_delta,longitudinal_prior_wheel_delta_scale,trigger_scan_forward_delta,odom_prior_translation,odom_prior_yaw_rate,imu_yaw_rate,imu_delta_dt,imu_delta_yaw,imu_delta_yaw_rate,command_latest_age,command_speed,command_steering_angle,command_expected_delta
639155407969852220,nan,nan,0,0,223,0,0,1,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.015728900000000001,1,0,nan,0,0,0,0,0,0,0,0,0,1,nan,nan,nan,nan,nan,nan,-0.0087860161438584328,nan,nan,nan,nan,nan,nan,nan
639155407970053042,0.45352309942245483,261.35368031062563,0.011367192077216013,0.0021468525157294065,264,0,0,0,0,0,0,2.889411262250506e-06,-0.0092956560067885829,-0.0065424639948400039,-0.0021439631044671559,-0.0092956749106189295,-0.0065424371358395374,-0.0021468525157294065,0,-0.46288036205139788,0.10675937419541463,-0.0092956560067885829,-0.0065424639948400039,0.011367192077216013,-0.0021439631044671559,0.020082200000000001,0,0,0,0,0,0,2.889411262250506e-06,1,0,0.020082200000000001,0,0,0,0,0,0,0,0.015987899999999999,2,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-0.0092956830122367488,0,0.00041108348434370541,-0.0058564655482769012,0.020082200000000001,8.2554607492871609e-06,0.00041108348434370541,-0.0098654999999999993,0,0,0
639155407970252572,0.45730292797088623,258.36660503900572,0.0052247238505067593,7.9681426838527029e-06,267,0,0,0,0,-0.0093096349765038715,-0.013062608053140096,-0.0021238618362177542,-0.0079179752845886815,-0.0080266351961885522,-0.0021158936935339015,0.0013809608506565919,0.0050389171895366567,7.9681426838527029e-06,0,0.069205611274068421,0.0014067764713704388,0.001380859561751487,-0.0014812140959203452,0.0020250353891311714,2.8069410933254362e-05,0.019952999999999999,-1.8990478677441414e-18,-0.0065201590435034866,-1.3978969715288531e-05,-0.0065201440583000925,-9.517605712144246e-17,0.0065201590435034866,2.0101268249401658e-05,1,0,0.019952999999999999,0,0,0,0,0,0,0,0.015835399999999999,3,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,0.0013808170264937593,0,0.0028783739286469619,0.0062058675102889538,0.019952999999999999,5.7432194998292824e-05,0.0028783739286469619,0.010087499999999999,0,0,0
639155407970551653,0.44955500960350037,259.89760701648078,0.0040791546436755371,0.00025470200565363456,270,0,0,0,0,-0.0079226731799805269,-0.01024692083500116,-0.0021336552183247931,-0.0093260389844039403,-0.0064167684847682453,-0.0023883572239784276,-0.0014115348283724259,0.0038271493353815344,-0.00025470200565363456,0,-0.047193464383962248,0.0091100247238883828,-0.0014114668521419812,0.0016068837968506234,0.002138764646069471,-0.00027246353044452616,0.0299081,-3.6845933205562065e-19,-0.0022202906089380781,-4.6978953918454247e-06,-0.0022202856388126076,-1.2319717135345296e-17,0.0022202906089380781,-1.7761524790891551e-05,1,0,0.0299081,0,0,0,0,0,0,0,0.0058367000000000002,5,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-0.0014115076241253172,0,0.0016967715665073995,-0.0046066753566265106,0.0299081,-5.0747213688259952e-05,-0.0016967715665073995,0.0064888999999999997,0,0,0
639155407970751623,0.45258423686027527,261.18954465457176,0.0023193274669970373,6.9613885164159905e-05,267,0,0,0,0,-0.0093234735825881918,-0.00534264233977917,-0.0023713954844489277,-0.010196193936843293,-0.007491511596489718,-0.0024410093696130876,-0.00086762208630161068,-0.0021509327777800339,-6.9613885164159905e-05,0,-0.043385787998963969,0.0026330022320678083,-0.00086758560261528258,-0.0010768182853119477,0.0013828385290580699,-5.2652145634659968e-05,0.019997000000000001,1.0164395367051604e-20,0.001074129208538511,2.5654018157485886e-06,0.0010741261449890753,5.0829601275449335e-19,0.0010741292085385112,1.6961739529499937e-05,1,0,0.019997000000000001,0,0,0,0,0,0,0,0.0057279999999999996,6,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-0.0008676116948052613,0,0.002423469167446614,0.0051373792812228203,0.019997000000000001,4.8462112941429942e-05,0.002423469167446614,-0.007489,0,0,0
639155407971051738,0.45083928108215332,260.72369562354015,0.0029302167276143141,0.0004227934817118582,262,0,0,0,0,-0.010200138988688125,-0.0091076643480416143,-0.0024682255950883936,-0.013005441061613263,-0.0082612304460547743,-0.0028910190768002518,-0.0028073827154865361,0.0008395072123443503,-0.0004227934817118582,0,-0.093542804132722868,0.01499457565223878,-0.0028073598662292122,-0.00077657394811414559,0.0029127884432969199,-0.00045000970718716416,0.0300115,6.6661492948913437e-19,-0.0016161575665085456,-3.9450518448322369e-06,-0.0016161527515518963,2.2211983056132962e-17,0.0016161575665085456,-2.721622547530601e-05,1,0,0.0300115,0,0,0,0,0,0,0,0.00074700000000000005,8,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-0.0028073296706620627,0,0.002591028246344205,-0.0050868452526628971,0.0300115,-7.7760644215159111e-05,-0.002591028246344205,-0.044585199999999998,0,0,0
639155407971251674,0.44822558760643005,265.75532375584885,0.0027600375449373829,0.00065472239542354151,265,0,0,0,0,-0.013006939166992734,-0.0087794218401462051,-0.0028914518973992805,-0.010357660913296993,-0.0080053856756430088,-0.002236729501975739,0.0026470290938479632,0.00078169317880253145,0.00065472239542354151,0,0.1323938376370751,0.032724950725457787,0.002647029432180625,0.00026349847349518553,0.0026601120766548119,0.00065428957482451281,0.0199936,2.0540548970916783e-20,-0.00051819355961855464,-1.4981053794715926e-06,-0.00051819139409143081,1.027356202530649e-18,0.00051819355961855464,-4.3282059902869518e-07,1,0,0.0199936,0,0,0,0,0,0,0,0.020740600000000001,8,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,0.0026470292692550232,0,6.185130656500739e-05,-0.00012524487101472914,0.0199936,-1.2366302829381319e-06,-6.185130656500739e-05,-0.024591600000000002,0,0,0
639155407971551717,0.44082629680633545,267.3327688018868,0.0047846894740320974,0.00038083149189920007,266,0,0,0,0,-0.01035678225571849,-0.0076125549321708376,-0.0023189295901512924,-0.0084667315190171764,-0.003216993355351742,-0.0026997610820504924,0.0018798526662211672,0.0043999326490543828,-0.00038083149189920007,0,0.062664829198532626,0.015432174057543534,0.0018802143347215325,0.0047926098362670285,0.0051482341620380685,-0.00046303158007475346,0.030004300000000001,-5.6730031642356765e-19,0.00039283172613224489,8.7865757850309756e-07,0.00039283074347217124,-1.8907300501047104e-17,0.00039283172613224489,-8.2200088175553385e-05,1,0,0.030004300000000001,0,0,0,0,0,0,0,0.0058230000000000001,10,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,0.0018796515318290304,0,0.0078274578906122327,-0.0050866412930190563,0.030004300000000001,-0.00023485739478729665,-0.0078274578906122327,0.0054127000000000003,0,0,0
639155407971751630,0.45340907573699951,263.46385859536758,0.00666234677765836,0.00069926122111691521,264,0,0,0,0,-0.0084581090179886159,-2.3199601930813142e-05,-0.0026867044638345704,-0.0090460303178351662,-0.0066595550121662742,-0.0019874432427176552,-0.00057008927367414538,-0.0066379110272597368,0.00069926122111691521,0,-0.028512533199717967,0.035631391621997431,-0.00057000260495552177,-0.0034441130773575808,0.0034909623113522129,0.00071231783933283725,0.0199913,-1.0570971181733668e-18,0.0031938053927743522,8.6225010285604503e-06,0.0031937937534209288,-5.2877857776801252e-17,0.0031938053927743518,1.3056618215922036e-05,1,0,0.0199913,0,0,0,0,0,0,0,0.0057790999999999997,11,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-0.00057006684552713999,0,0.0018660429023657419,0.0050873295404016972,0.0199913,3.7304623474064254e-05,0.0018660429023657419,-0.0084773999999999995,0,0,0
639155407972052650,0.44845202565193176,258.83448232435495,0.0035248334431372641,0.00042699931360328739,265,0,0,0,0,-0.0090563359551436833,-0.011844922583000728,-0.0020048126199312321,-0.01071660316266633,-0.0087355876699551985,-0.0024318119335345195,-0.0016664975006871394,0.0031060001419933032,-0.00042699931360328739,0,-0.05535989472950846,0.014762098558795572,-0.0016664435511476636,-0.0020793487242239568,0.002664718601671372,-0.00044436869081686432,0.030102,-4.6756218688437379e-19,-0.0051853778117724398,-1.0305637308517107e-05,-0.0051853675708344541,-1.5532595405101779e-17,0.0051853778117724406,-1.7369377213576932e-05,1,0,0.030102,0,0,0,0,0,0,0,0.015985800000000001,12,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-0.0016663919549312937,0,0.0016486210895884305,-0.004775436595082283,0.030102,-4.9626792038790933e-05,-0.0016486210895884305,-0.011805100000000001,0,0,0
