stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,medium_outlier_streak,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw,longitudinal_residual,lateral_residual,yaw_residual,wheel_forward_velocity,scan_forward_velocity,scan_match_yaw_rate,scan_match_delta_forward,scan_match_delta_lateral,scan_match_delta_translation,scan_match_delta_yaw,prediction_delta_dt,prediction_delta_forward,prediction_delta_lateral,prediction_delta_x,prediction_delta_y,prediction_delta_forward_velocity,prediction_delta_translation,prediction_delta_yaw,adaptive_odometry_weight,wheel_twist_expected_delta,odom_pose_delta_dt,odom_pose_delta_forward,odom_pose_delta_lateral,odom_pose_delta_local_x,odom_pose_delta_local_y,odom_pose_delta_forward_velocity,odom_pose_delta_translation,odom_pose_delta_yaw,odom_latest_age,odom_history_size,front_point_count,front_point_fraction,front_weak,longitudinal_prior_active,longitudinal_replacement_active,longitudinal_motion_loss,straight_longitudinal_mismatch,straight_longitudinal_mismatch_streak,motion_loss_prior_hold_count,longitudinal_blend_weight,longitudinal_prior_weight,ceres_occupied_space_weight_scale,ceres_rotation_weight,longitudinal_prior_target_delta,longitudinal_prior_wheel_delta_scale,trigger_scan_forward_delta,odom_prior_translation,odom_prior_yaw_rate,imu_yaw_rate,imu_delta_dt,imu_delta_yaw,imu_delta_yaw_rate,command_latest_age,command_speed,command_steering_angle,command_expected_delta
639155388163896841,nan,nan,0,0,360,0,0,1,1,0,0,-5.610092763483526e-05,0,0,-5.610092763483526e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.011972399999999999,2,0,nan,0,0,0,0,0,0,0,0,0,1,nan,nan,nan,nan,nan,nan,-0.0035089747980237007,nan,nan,nan,nan,nan,nan,nan
639155388164198306,0.47462674975395203,58.143859071655399,0.0061775927301304569,5.9293883386083498e-05,361,0,0,0,0,0,0,-0.0001717380525106192,0.00021593810805763651,0.0061738175121110574,-0.0002310319358967027,0.00021487782548232777,0.0061738545058558567,-5.9293883386083498e-05,0,0.0071514686888536983,0.0058026971045351027,0.00021559175082852802,0.0061738296167237533,0.0061775927301304569,-0.00017493100826186748,0.0301465,0,0,0,0,0,0,-0.00011563712487578394,1,0,0.0301465,0,0,0,0,0,0,0,0.0021415000000000002,4,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,0.00021514554782438449,0,0.0047947989350249579,-0.0072290552780032158,0.0301465,-0.0001445464060947299,-0.0047947989350249579,nan,nan,nan,nan
639155388164397485,0.4779837429523468,58.373243213574355,0.0054531462764539742,8.0632125921189623e-05,352,0,0,0,0,0.00021688050951518687,0.010252913491312009,-0.0003368353265398523,-0.0036052753026578682,0.006363449613105197,-0.00025620320061866267,-0.0038208454865352021,-0.0038907510946380804,8.0632125921189623e-05,0,-0.19185040189008079,0.0012637509336807585,-0.0038212571198064397,0.00018874927360936283,0.0038259158725669168,-2.5171264721959976e-05,0.019917899999999999,-1.3658406274475593e-20,0.004079096088063369,9.424014575503683e-07,0.0040790959792009517,-6.8573525695357408e-19,0.004079096088063369,-0.0001058033906431496,1,0,0.019917899999999999,0,0,0,0,0,0,0,0.0019483,5,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,-0.0038212695928973479,0,0.0066399689878921487,-0.0044117392972111702,0.019917899999999999,-0.00013225423830393702,-0.0066399689878921487,nan,nan,nan,nan
639155388164696863,0.4860178530216217,57.435080492504163,0.0015192785866506109,0.00022709038214018519,354,0,0,0,0,-0.0036052026544677969,0.0066470065253718021,-0.00037785201029252343,-0.0027077852762610261,0.0078729141373669164,-0.00060494239243270864,0.00089695410249906798,0.001226246615434746,-0.00022709038214018519,0,0.029965570860353077,0.011648791554958814,0.00089710326730307833,0.0015096944145358043,0.0017561239983231434,-0.00034873919181404597,0.029937800000000001,1.5344001839511651e-18,0.00028355692157295453,7.2648190071328278e-08,0.00028355691226660505,5.1252937221544835e-17,0.00028355692157295453,-0.00012164880967386075,1,0,0.029937800000000001,0,0,0,0,0,0,0,0.0119693,6,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,0.00089698848187996208,0,0.0050792313427281176,-0.0076046856120228767,0.029937800000000001,-0.00015206101209232583,-0.0050792313427281176,nan,nan,nan,nan
639155388164896790,0.48815047740936279,55.257566229501464,0.0046600221483027041,0.00023318966330468865,373,0,0,0,0,-0.0027071752555624801,0.0088813087080952223,-0.00070186168355686619,-0.0034441310467529288,0.004279928199541011,-0.00046867202025217754,-0.0007337260772693556,-0.0046018966162014842,0.00023318966330468865,0,-0.036722007851888623,0.0068160064513813094,-0.00073417208638045363,-0.0035934307271346957,0.0036676631583524699,0.0001362703721805311,0.019992699999999999,4.955142741437657e-20,0.0010083947552420021,6.1002069854602242e-07,0.0010083945707283059,2.478476014464108e-18,0.0010083947552420019,-9.6919291124157548e-05,1,0,0.019992699999999999,0,0,0,0,0,0,0,0.011283100000000001,7,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,-0.00073395441455941033,0,0.0060596674738878191,-0.0040411730296909809,0.019992699999999999,-0.00012114911390519699,-0.0060596674738878191,-0.042907000000000001,1.2145495414733887,-0.13819047808647156,0.024282124617815017
639155388165196808,0.48000064492225647,56.839753401586087,0.0072413509054236021,0.000107735870407583,351,0,0,0,0,-0.0034466582609633039,-0.0011123587647589774,-0.00060568465443132271,0.0003497863135012872,0.0050540154963848909,-0.00049794878402373971,0.003792709000059266,0.0061686725781442357,0.000107735870407583,0,0.12644421836478811,0.00097583357570419683,0.0037935541505366996,0.00077586531467720968,0.0038720821375034628,-2.9276763771562172e-05,0.030001799999999999,-5.2939559203393771e-20,-0.005392287556517294,-2.5272142103751304e-06,-0.0053922869642999884,-1.7645461006804184e-18,0.005392287556517294,-0.00013701263417914517,1,0,0.030001799999999999,0,0,0,0,0,0,0,0.0068830999999999996,9,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,0.0037934876970336451,0,0.0057085172464295944,-0.0085692023858428001,0.030001799999999999,-0.0001712657927239314,-0.0057085172464295944,-0.032842900000000001,1.2145495414733887,-0.13819047808647156,0.036438672433376312
639155388165396898,0.47575059533119202,57.380564921982661,0.001552359837763714,7.1946311770853849e-05,360,0,0,0,0,0.00035004401161004814,0.0055715347588671978,-0.00049794878402373971,0.00047833832478926479,0.0071185840906946149,-0.00056989509579459356,0.00012752394597196454,0.001547113024024271,-7.1946311770853849e-05,0,0.006373329300413043,0.0035956975246565974,0.00012752394597196457,0.0020646323506668088,0.0020685669194435586,-7.1946311770853849e-05,0.020008999999999999,5.082197683525802e-21,0.00051751932664253813,2.576981087609384e-07,0.00051751926248230686,2.5399558616251697e-19,0.00051751932664253813,0,1,0,0.020008999999999999,0,0,0,0,0,0,0,0.0019446000000000001,10,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,0.00012752394597196457,0,0,-0.0085692023858428001,0.020008999999999999,0,0,-0.022868599999999999,1.2145495414733887,-0.13819047808647156,0.024301921775341032
639155388165696570,0.47206631302833557,58.02581585800371,0.0047791750291175271,0.00092218414128652387,363,0,0,0,0,0.0004801005456381691,0.010210768373608929,-0.0013179833776647797,-0.0024162787226948224,0.0064092553731167085,-0.00039579923637825574,-0.0028913664232177718,-0.0038053270773521406,0.00092218414128652387,0,-0.09657933789246434,0.0058095470853579186,-0.0028942123344910574,-0.00071097823036014006,0.0029802609082370977,0.00017409585941633782,0.029967199999999999,4.0657581468206416e-20,0.0030921847850548375,1.7622208489043102e-06,0.0030921842829143139,1.3567360803881048e-18,0.0030921847850548371,-0.0007480882818701861,1,0,0.029967199999999999,0,0,0,0,0,0,0,0.0119924,11,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,-0.002893879596602669,0,0.031204461956330021,-0.063201770186424255,0.029967199999999999,-0.00093511035233773295,-0.031204461956330021,-0.0028904,1.2145495414733887,-0.13819047808647156,0.036396649019241334
639155388165898108,0.47820588946342468,56.579029816402496,0.0018875705002421648,0.00088537224146228359,351,0,0,0,0,-0.0024164678412414392,0.0059314410688965239,0.00086730964308660895,-0.0011588726696508068,0.0045238272092828925,-1.8062598375674694e-05,0.0012563738616716308,-0.0014087040544744555,-0.00088537224146228359,0,0.062427542476419913,0.018742700533030052,0.0012581522055612716,-0.0018849303358084064,0.0022662544745040186,0.00037773663800258104,0.020153799999999999,-2.5858327692897688e-19,-0.00047781434164667332,-1.8911854661679897e-07,-0.00047781430422018465,-1.2830497322042338e-17,0.00047781434164667332,0.0012631088794648646,1,0,0.020153799999999999,0,0,0,0,0,0,0,0.011741100000000001,12,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,0.0012566637685101321,0,0.078341856093197354,0.078996047377586365,0.020153799999999999,0.0015788860993310807,0.078341856093197354,0.0083792999999999992,0,0,0
639155388166196709,0.47576797008514404,58.679169046435135,0.0055514228688389134,0.0011037588421129048,352,0,0,0,0,-0.0011589231264035708,0.0017303889835725041,0.00017948410170413897,-0.0061399603796039263,0.0041814221842652105,-0.00092427474040876598,-0.0049805972514795254,0.0024519271782053953,-0.0011037588421129048,0,-0.16681395991360082,0.030348597025230704,-0.0049810815244161121,-0.00034249499634859991,0.0049928424745232418,-0.00090621214203309133,0.029860100000000001,-2.5162172489373059e-19,-0.0027934382261660781,-5.0456752764002979e-08,-0.0027934382257103884,-8.4266872814803223e-18,0.0027934382261660786,0.00019754670007981367,1,0,0.029860100000000001,0,0,0,0,0,0,0,0.0017924,14,0,0,1,0,0,0,0,0,0,0,0,1,30,nan,1,-0.0049811237731728457,0,0.0082696767626286253,0.012354637496173382,0.029860100000000001,0.00024693337509976702,0.0082696767626286253,-0.028163500000000001,0,0,0
