stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,medium_outlier_streak,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw,longitudinal_residual,lateral_residual,yaw_residual,wheel_forward_velocity,scan_forward_velocity,scan_match_yaw_rate,scan_match_delta_forward,scan_match_delta_lateral,scan_match_delta_translation,scan_match_delta_yaw,prediction_delta_dt,prediction_delta_forward,prediction_delta_lateral,prediction_delta_x,prediction_delta_y,prediction_delta_forward_velocity,prediction_delta_translation,prediction_delta_yaw,adaptive_odometry_weight,wheel_twist_expected_delta,odom_pose_delta_dt,odom_pose_delta_forward,odom_pose_delta_lateral,odom_pose_delta_local_x,odom_pose_delta_local_y,odom_pose_delta_forward_velocity,odom_pose_delta_translation,odom_pose_delta_yaw,odom_latest_age,odom_history_size,front_point_count,front_point_fraction,front_weak,longitudinal_prior_active,longitudinal_replacement_active,longitudinal_motion_loss,straight_longitudinal_mismatch,straight_longitudinal_mismatch_streak,motion_loss_prior_hold_count,longitudinal_blend_weight,longitudinal_prior_weight,ceres_occupied_space_weight_scale,ceres_rotation_weight,longitudinal_prior_target_delta,longitudinal_prior_wheel_delta_scale,trigger_scan_forward_delta,odom_prior_translation,odom_prior_yaw_rate,imu_yaw_rate,imu_delta_dt,imu_delta_yaw,imu_delta_yaw_rate,command_latest_age,command_speed,command_steering_angle,command_expected_delta
639155404120865505,nan,nan,0,0,300,0,0,1,1,0,0,-7.4673111943160181e-05,0,0,-7.4673111943160181e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0095303000000000002,1,0,nan,0,0,0,0,0,0,0,0,0,1,nan,nan,nan,nan,nan,nan,-0.0073377774097025394,nan,nan,nan,nan,nan,nan,nan
639155404121066127,0.51645338535308838,303.71189640603808,0.007617763338223422,0.0011371618214451697,296,0,0,0,0,0,0,-0.00010548576769658364,-0.0073873108238073585,0.0018595582996075955,-0.0012426475891417535,-0.0073875069396415888,0.0018587790331096958,-0.0011371618214451697,0,-0.36822729621956746,0.058217666915821469,-0.0073874496622162063,0.0018590066609354863,0.007617763338223422,-0.0011679744771985934,0.020062199999999999,0,0,0,0,0,0,-3.0812655753423461e-05,1,0,0.020062199999999999,0,0,0,0,0,0,0,0.0096173000000000005,2,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-0.0073875314849625173,0,0.0043881607847342571,-0.0045380867086350918,0.020062199999999999,-8.8036159295495599e-05,-0.0043881607847342571,-0.035194200000000002,0,0,0
639155404121265998,0.51860082149505615,299.37038880626505,0.0036226982944729791,0.0001327395544799396,300,0,0,0,0,-0.0073850200651789689,0.0037030072945565444,-0.0012426475891417535,-0.0044335111125190429,0.0058036114541129653,-0.0011099080346618139,0.0029488963638171382,0.0021042702222489134,0.0001327395544799396,0,0.14753998147891084,0.0066412613375597057,0.0029488963638171391,0.0039477206405008885,0.0049275235179520654,0.0001327395544799396,0.019987100000000001,1.099872282009709e-18,0.0018434504182519755,2.2907586283895526e-06,0.0018434489949489489,5.5029107875064865e-17,0.0018434504182519755,0,1,0,0.019987100000000001,0,0,0,0,0,0,0,0.029604399999999999,2,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,0.0029488963638171391,0,0,-0.0045380867086350918,0.019987100000000001,0,0,-0.015207099999999999,0,0,0
639155404121565483,0.51192748546600342,308.96687046163441,0.0062562411407813675,0.00045089444497075867,301,0,0,0,0,-0.0044269464026042045,0.011718252139778632,-0.0011099080346618137,-0.0045201334843981674,0.0054627050510427412,-0.00065901358969105506,-8.6243943846111586e-05,-0.0062556466647146255,0.00045089444497075867,0,-0.0028797416847625421,0.015055660382682235,-8.624394384611099e-05,-0.00034100233593644525,0.00035173940774989006,0.00045089444497075888,0.029948499999999999,5.9292306307801024e-19,0.0059146443287781802,6.5647099148384222e-06,0.0059146406856656663,1.9798088821744337e-17,0.0059146443287781802,2.1684043449710089e-19,1,0,0.029948499999999999,0,0,0,0,0,0,0,0.0196151,3,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-8.624394384611099e-05,0,0,-0.0045380867086350918,0.029948499999999999,0,0,-0.018499499999999999,0,0,0
639155404121865506,0.50539815425872803,311.738293612446,0.0044687020626307805,0.00098270529467954504,302,0,0,0,0,-0.004520358587559609,0.0051211291983208002,-0.00065901358969105506,-0.0079284278466490825,0.0022307378667170809,-0.0016417188843706001,-0.0034061637119999393,-0.0028926366677506157,-0.00098270529467954504,0,-0.11353008642670527,0.03275433199053223,-0.0034061637119999393,-0.0032342125946455808,0.0046970290972389462,-0.00098270529467954504,0.030002299999999999,-1.7043891085532625e-19,-0.00034157592689496496,-2.2510316144159354e-07,-0.00034157585272194101,-5.6808614957961971e-18,0.00034157592689496491,0,1,0,0.030002299999999999,0,0,0,0,0,0,0,0.0094287999999999993,5,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-0.0034061637119999393,0,0,-0.0045380867086350918,0.030002299999999999,0,0,-0.0216592,0,0,0
639155404122065391,0.51699072122573853,304.16301227778797,0.0067013477261520064,0.0010267478378627255,299,0,0,0,0,-0.0079319689764800489,7.3775013162078948e-05,-0.0016883899259843361,-0.00282942800853914,0.0044179823076275857,-0.00066164208812161064,0.0050951989827889696,0.0043528161772109003,0.0010267478378627255,0,0.25491668347823471,0.049032033231557616,0.0050954021277046947,0.0021956126139010966,0.0055483184473621491,0.00098007679624898935,0.019988499999999999,6.0266394197143469e-19,-0.0021569657603255125,-3.5411298309664246e-06,-0.002156962853555002,3.0150533655423605e-17,0.0021569657603255129,-4.6671041613735977e-05,1,0,0.019988499999999999,0,0,0,0,0,0,0,0.0094549000000000005,6,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,0.0050952557284828903,0,0.0066711275574506384,-0.0012473465176299214,0.019988499999999999,-0.00013334583318210208,-0.0066711275574506384,-0.0016707,0,0,0
639155404122365476,0.50886350870132446,305.74717242927915,0.005392251140299501,0.0010505011113554419,299,0,0,0,0,-0.0028272520342365708,0.0077067301429144409,-0.00064744609244596167,-0.0068081577983410959,0.0040695936789663751,-0.0016979472038014037,-0.0039785500801069358,-0.0036397131233302394,-0.0010505011113554419,0,-0.13257904961441885,0.034533719302190811,-0.0039784984103542883,-0.00035102104729824927,0.0039939536022390084,-0.001036305115679793,0.0300085,-9.6519404339627524e-19,0.0032887485551449723,2.1759743025692724e-06,0.0032887478352868552,-3.2164021640411057e-17,0.0032887485551449719,1.4195995675648967e-05,1,0,0.0300085,0,0,0,0,0,0,0,0.019455500000000001,7,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-0.0039785055282408237,0,0.0013516166301118506,0.0073524797335267067,0.0300085,4.0559987644711473e-05,0.0013516166301118506,-0.0050355,0,0,0
639155404122865439,0.51941269636154175,298.3409411037278,0.00089666593535210929,0.00034377966270929348,306,0,0,0,0,-0.0068091624645241029,0.0034778996526357098,-0.0016974711193321697,-0.0060225362966035249,0.0030475171813808275,-0.0013536914566228762,0.00078735559608968532,-0.0004290465766407294,0.00034377966270929348,0,0.015748281379862263,0.0068856244797820525,0.00078735580035200765,-0.0010207410810588481,0.001289124319415756,0.00034425574717852745,0.0499963,-1.4950131519038401e-19,-0.0005916948792659383,-1.0046661830069581e-06,-0.00059169402633066533,-2.9902475821287576e-18,0.00059169487926593841,4.7608446923402999e-07,1,0,0.0499963,0,0,0,0,0,0,0,0.0095315,10,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,0.00078735510612471719,0,2.7206840119535171e-05,0.0077351201325654984,0.0499963,1.3602413406683164e-06,2.7206840119535171e-05,-0.021737800000000002,0,0,0
639155404122965395,0.51665258407592773,301.92258348267967,0.0064255919602741185,0.001001416071396786,233,0,0,0,0,-0.0060228126224032225,0.0028433896975599555,-0.0013679129103514474,-0.002983698490832696,-0.0028180604113103606,-0.00036649683895466139,0.0030468556564775136,-0.0056572875698987024,0.001001416071396786,0,0.30481163725199073,0.098762917450499699,0.0030467752013159989,-0.0058614585708941817,0.0066060226843133851,0.0009871946176682148,0.0099956000000000003,-8.0944586021989076e-20,-0.00020412767085083766,-2.7632579969755905e-07,-0.00020412748382087195,-8.098021731760882e-18,0.00020412767085083768,-1.4221453728571233e-05,1,0,0.0099956000000000003,0,0,0,0,0,0,0,0.019527099999999999,10,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,0.0030468942842041312,0,0.0040650611207705845,-0.0041650240309536457,0.0099956000000000003,-4.0632724938774456e-05,-0.0040650611207705845,-0.0117422,0,0,0
639155404123065351,0.50940406322479248,301.68709784839319,0.0020253743741132911,0.00045978226797407468,235,0,0,0,0,-0.0029858477981100891,-0.0086825234917874139,-0.00036792948196542272,-0.0032672751543620206,-0.0066767966912316019,9.1852786008651938e-05,-0.00028216530320926777,0.0020056231193770245,0.00045978226797407468,0,-0.028228663598686858,0.045855138757384582,-0.00028216242986703436,-0.0038588399507171033,0.0038691422049439905,0.00045834962496331334,0.0099956000000000003,-3.4093076126985589e-19,-0.0058644634743342189,-2.1493072773931012e-06,-0.0058644630804770533,-3.4108083683806461e-17,0.0058644634743342198,-1.4326430107613314e-06,1,0,0.0099956000000000003,0,0,0,0,0,0,0,0.0094567999999999996,11,0,0,1,0,0,0,0,0,0,0,0,1,20,nan,1,-0.00028215453223775046,0,0.00040950675747649854,-0.00041948223952203989,0.0099956000000000003,-4.093265745032089e-06,-0.00040950675747649854,-0.035018899999999999,0,0,0
