elapsed,process_count,total_cpu_percent,total_rss_kb,cartographer_cpu_percent,cartographer_rss_kb
1.269999984288006e-06,1,0.0,3764,0,0
0.515798630000063,1,30.7,29084,0,0
1.031732429000158,5,172.5,221924,31.3,90548
1.5516658080000525,5,88.1,235064,17.1,94604
2.0714332370000648,5,62.8,235484,14.3,95016
2.5912941310000406,5,49.5,235500,12.5,95032
3.1110495410000567,5,42.6,235516,11.8,95048
3.6309947980000743,5,38.0,235552,11.8,95084
4.150907625000173,5,34.199999999999996,235584,11.2,95116
4.670561457000076,5,31.5,235628,10.899999999999999,95160
5.190267247000065,5,30.0,235676,11.0,95208
5.709979648000171,5,28.3,235740,10.8,95272
6.229818647999991,5,26.8,235780,10.700000000000001,95304
6.7591794810000465,5,25.8,235868,10.600000000000001,95392
7.279347590000043,5,25.0,236888,10.799999999999999,96412
7.799559861000034,5,24.5,237100,11.0,96620
8.319154540999989,5,24.0,237356,11.2,96876
8.83875576000014,5,23.5,237600,11.1,97120
9.358432919000052,5,23.099999999999998,237704,11.299999999999999,97224
9.878355859000067,5,22.7,237876,11.5,97396
10.398029593000047,5,22.2,238460,11.3,97980
10.91780408700015,5,22.0,238652,11.4,98172
11.437427823999997,5,21.7,238672,11.3,98192
11.957278200000019,5,21.599999999999998,238688,11.5,98208
12.47714112000017,5,21.2,238720,11.5,98240
12.997067717000164,5,21.3,238924,11.7,98444
13.516659828999991,5,20.9,238984,11.6,98504
14.036498327000118,5,21.1,239228,12.0,98744
14.556217908000008,5,21.099999999999998,239580,12.2,99096
15.07582285500007,5,21.1,240156,12.4,99672
15.595359701000007,5,21.1,240212,12.6,99728
16.115162732000044,5,21.2,240336,12.7,99852
16.634981599000184,5,20.9,240476,12.799999999999999,99992
17.154500320000125,5,20.7,240584,12.7,100100
17.674330876000113,5,20.7,240732,12.8,100248
18.194267278000098,5,20.7,241060,13.0,100576
18.714006299000175,5,20.8,241312,13.2,100828
19.233524416000137,5,20.8,241576,13.299999999999999,101092
19.753183760000184,5,20.900000000000002,241840,13.5,101356
