elapsed,process_count,total_cpu_percent,total_rss_kb,cartographer_cpu_percent,cartographer_rss_kb,drm-engine-capacity-video,drm-engine-compute,drm-engine-copy,drm-engine-render,drm-engine-video,drm-engine-video-enhance,drm-total-stolen-local0,drm-total-system0
1.269999984288006e-06,1,0.0,3780,0,0,,,,,,,,
0.5166877990000103,1,34.6,29288,0,0,,,,,,,,
1.0328031889998783,5,176.6,231192,35.099999999999994,91044,,,,,,,,
1.5526007819998995,5,98.2,304176,25.8,163412,2,0,0,4994912,0,0,0,31148
2.0727493839999624,5,76.6,304664,26.799999999999997,163888,2,0,0,40309828,0,0,0,28828
2.5927108629998656,5,63.3,304672,24.8,163896,2,0,0,65523172,0,0,0,28828
3.1128818069998943,5,57.8,304692,25.599999999999998,163916,2,0,0,97951152,0,0,0,28828
3.633174234999842,5,53.4,304836,25.8,164060,2,0,0,131504776,0,0,0,28828
4.153015307000032,5,50.5,304900,26.2,164120,2,0,0,166521836,0,0,0,28828
4.672999465999965,5,48.599999999999994,304928,26.599999999999998,164148,2,0,0,201192784,0,0,0,28840
5.19338751600003,5,46.9,304956,26.9,164176,2,0,0,235728012,0,0,0,28828
5.713632723000046,5,45.300000000000004,305064,27.200000000000003,164284,2,0,0,269301448,0,0,0,28828
6.233601945999908,5,44.4,305092,27.5,164308,2,0,0,306401316,0,0,0,28828
6.753547906999984,5,43.6,305172,27.5,164388,2,0,0,342137432,0,0,0,28828
7.2734764849999465,5,42.7,306188,27.599999999999998,165404,2,0,0,370958744,0,0,0,28828
7.7935928509998575,5,41.699999999999996,306416,27.7,165632,2,0,0,399070828,0,0,0,28828
8.313557907999893,5,41.4,306608,27.900000000000002,165816,2,0,0,424634288,0,0,0,28828
8.833638991000043,5,41.0,306800,28.0,166008,2,0,0,448127784,0,0,0,28828
9.353632331999961,5,40.1,306876,27.8,166084,2,0,0,466246248,0,0,0,30488
9.873674550000032,5,40.0,307004,28.0,166212,2,0,0,487359444,0,0,0,28828
10.393628530999877,5,39.800000000000004,308840,28.3,168048,2,0,0,513479356,0,0,0,28844
10.913856398000007,5,39.6,308932,28.599999999999998,168140,2,0,0,551050032,0,0,0,28844
11.434009902999833,5,39.6,308948,28.8,168156,2,0,0,590303896,0,0,0,28844
11.954107095999916,5,39.3,308956,28.900000000000002,168164,2,0,0,629399836,0,0,0,28844
12.47404394199998,5,39.300000000000004,309024,29.200000000000003,168232,2,0,0,669212024,0,0,0,28844
12.994508244999906,5,39.300000000000004,309144,29.5,168348,2,0,0,706980456,0,0,0,28844
13.514915671999916,5,39.3,309216,29.6,168420,2,0,0,745500028,0,0,0,30716
14.034981948999985,5,39.4,309348,30.0,168552,2,0,0,784474392,0,0,0,28844
14.554732866999984,5,39.699999999999996,309904,30.3,169108,2,0,0,820390948,0,0,0,28844
15.074574950999931,5,39.6,310160,30.6,169364,2,0,0,849521192,0,0,0,28844
15.594539412999893,5,39.4,310288,30.400000000000002,169492,2,0,0,871779480,0,0,0,28844
16.114422872999967,5,39.2,310384,30.400000000000002,169584,2,0,0,894250344,0,0,0,28844
16.63431299900003,5,39.0,310396,30.5,169596,2,0,0,916337552,0,0,0,28844
17.15413505299989,5,38.7,310476,30.3,169676,2,0,0,937475864,0,0,0,30128
17.674522358999866,5,38.6,310588,30.3,169788,2,0,0,957897616,0,0,0,28844
18.204979977999983,5,38.4,310940,30.3,170140,2,0,0,979412044,0,0,0,28844
18.72524095699987,5,38.4,311172,30.3,170372,2,0,0,1002483508,0,0,0,28844
19.245089302999986,5,38.3,312088,30.4,171288,2,0,0,1034554768,0,0,0,28856
19.76519138699996,5,38.3,305636,30.6,164836,2,0,0,1075925864,0,0,0,28844
20.285157521999963,5,38.6,314068,30.900000000000002,173268,2,0,0,1123585944,0,0,0,33064
20.805028798999956,5,38.7,317320,31.200000000000003,176516,2,0,0,1177187648,0,0,0,28844
21.324905597999987,5,38.8,317400,31.3,176596,2,0,0,1224072304,0,0,0,28844
21.844947346000026,5,38.7,317404,31.3,176600,2,0,0,1263979652,0,0,0,28844
22.364877918000047,5,38.800000000000004,317448,31.400000000000002,176644,2,0,0,1308134516,0,0,0,28844
22.885210096000037,5,38.699999999999996,317684,31.5,176880,2,0,0,1349212176,0,0,0,28844
23.40511530999993,5,38.800000000000004,317984,31.700000000000003,177180,2,0,0,1402601564,0,0,0,28844
23.935569595999823,5,39.1,320120,32.1,179316,2,0,0,1464001240,0,0,0,28844
24.45584870499988,5,39.1,321924,32.2,181120,2,0,0,1512694768,0,0,0,32192
24.975821861999975,5,39.4,322172,32.5,181368,2,0,0,1564776720,0,0,0,28844
25.495967909,5,39.5,322340,32.7,181536,2,0,0,1617490004,0,0,0,32080
26.016255707000028,5,39.699999999999996,322880,33.0,182076,2,0,0,1667640312,0,0,0,28844
26.53612545099986,5,39.9,323036,33.2,182232,2,0,0,1711580676,0,0,0,28844
27.056180636999898,5,40.199999999999996,323208,33.5,182404,2,0,0,1770138500,0,0,0,28844
27.581533448999835,5,40.2,323524,33.6,182720,2,0,0,1815283704,0,0,0,32192
28.101545576000035,5,40.300000000000004,323700,33.800000000000004,182896,2,0,0,1863013308,0,0,0,28844
28.621808393000038,5,40.6,323984,34.1,183180,2,0,0,1911529464,0,0,0,28844
29.141949016999888,5,40.6,324192,34.2,183388,2,0,0,1952504736,0,0,0,33956
29.661936033999837,5,40.7,324496,34.300000000000004,183692,2,0,0,1990071512,0,0,0,28844
30.181903495999904,5,40.8,324652,34.5,183848,2,0,0,2029502176,0,0,0,28844
30.71362788900001,5,40.9,325104,34.6,184300,2,0,0,2063929764,0,0,0,28844
31.23385164299998,5,41.1,325132,34.900000000000006,184328,2,0,0,2092927824,0,0,0,28844
31.75375209599997,5,41.199999999999996,325596,35.0,184792,2,0,0,2118501996,0,0,0,28844
32.27364211400004,5,41.3,325640,35.1,184836,2,0,0,2140312304,0,0,0,28844
32.79367943700004,5,41.3,325860,35.2,185056,2,0,0,2162503304,0,0,0,28844
33.31391012499989,5,41.4,326072,35.300000000000004,185268,2,0,0,2190173960,0,0,0,28844
33.83459052099988,5,41.599999999999994,326320,35.5,185516,2,0,0,2226218020,0,0,0,28844
34.35461391199988,5,42.0,326540,35.900000000000006,185736,2,0,0,2282636408,0,0,0,28844
34.874792739999975,5,42.3,323588,36.2,182784,2,0,0,2335847696,0,0,0,28844
35.39470937500005,5,42.400000000000006,323916,36.400000000000006,183112,2,0,0,2385332768,0,0,0,28844
35.915488162999964,5,42.6,324544,36.6,183736,2,0,0,2436349500,0,0,0,28844
36.43561839799986,5,42.800000000000004,329976,36.900000000000006,189168,2,0,0,2491605792,0,0,0,28844
36.955581764000044,5,43.2,335676,37.300000000000004,194868,2,0,0,2549911676,0,0,0,34492
37.47560915899999,5,43.5,335764,37.599999999999994,194956,2,0,0,2601887132,0,0,0,28844
37.99565706699991,5,43.6,335892,37.8,195084,2,0,0,2652149084,0,0,0,34492
38.52697288199988,5,43.9,336764,38.099999999999994,195956,2,0,0,2712360404,0,0,0,34388
39.057567746999894,5,44.5,337036,38.699999999999996,196228,2,0,0,2763574736,0,0,0,28844
39.57813828099984,5,44.5,337040,38.699999999999996,196232,2,0,0,2806349884,0,0,0,34392
40.09796638199987,5,44.6,337140,38.9,196332,2,0,0,2856104888,0,0,0,28844
40.617982760999894,5,44.7,337152,39.0,196344,2,0,0,2904234528,0,0,0,28844
41.137817008999946,5,45.0,337412,39.3,196604,2,0,0,2955214704,0,0,0,28844
41.65774791299987,5,45.1,337496,39.5,196688,2,0,0,3000870860,0,0,0,28844
42.17776079800001,5,45.2,337596,39.6,196788,2,0,0,3045405688,0,0,0,28844
42.697942441999885,5,45.4,337604,39.8,196796,2,0,0,3087502600,0,0,0,28844
43.21799586599991,5,45.5,337892,39.9,197084,2,0,0,3126457776,0,0,0,28844
43.73802238500002,5,45.6,338108,40.0,197300,2,0,0,3159111332,0,0,0,28844
44.257980738000015,5,45.7,338176,40.1,197368,2,0,0,3191367608,0,0,0,28844
44.77785253899992,5,45.8,338280,40.199999999999996,197472,2,0,0,3221131264,0,0,0,28844
45.298319382000045,5,45.8,338348,40.3,197540,2,0,0,3249762308,0,0,0,28844
45.81837091499983,5,45.9,338912,40.4,198104,2,0,0,3282851728,0,0,0,31356
46.338536557,5,46.0,339064,40.5,198256,2,0,0,3320792436,0,0,0,28844
46.85860714499995,5,46.199999999999996,339428,40.699999999999996,198620,2,0,0,3362490820,0,0,0,28844
47.37851644599982,5,46.199999999999996,339540,40.8,198732,2,0,0,3397786600,0,0,0,28844
47.89843477799991,5,46.3,339692,40.9,198884,2,0,0,3435741608,0,0,0,31356
48.418511685999874,5,46.5,339884,41.1,199076,2,0,0,3478888140,0,0,0,28844
48.94872567399989,5,46.699999999999996,340580,41.4,199772,2,0,0,3527637932,0,0,0,28844
49.46907888199985,5,47.0,340852,41.6,200044,2,0,0,3579811352,0,0,0,34708
49.98903425200001,5,47.199999999999996,341808,41.8,201000,2,0,0,3627131040,0,0,0,33732
50.50953910399994,5,47.4,341904,42.0,201096,2,0,0,3662863048,0,0,0,31356
51.02954697699988,5,47.4,342220,42.1,201412,2,0,0,3694092688,0,0,0,28844
51.54956200799984,5,47.4,342232,42.1,201424,2,0,0,3726479692,0,0,0,28844
52.069556265999836,5,47.400000000000006,342320,42.2,201512,2,0,0,3756096500,0,0,0,31356
52.58955429399998,5,47.599999999999994,342440,42.3,201632,2,0,0,3795723776,0,0,0,28844
53.10959143199989,5,47.6,342544,42.4,201736,2,0,0,3851705728,0,0,0,28844
53.62963184,5,47.8,342544,42.5,201736,2,0,0,3902707484,0,0,0,28844
54.14985551299992,5,47.9,342544,42.6,201736,2,0,0,3954801656,0,0,0,34600
54.67000884599997,5,48.0,342544,42.7,201736,2,0,0,4008989296,0,0,0,28844
55.190601173000005,5,48.199999999999996,342584,42.9,201776,2,0,0,4063254624,0,0,0,28844
55.71076622999999,5,48.2,342832,43.0,202024,2,0,0,4108772304,0,0,0,28844
56.23074059500004,5,48.4,343096,43.1,202288,2,0,0,4153569420,0,0,0,34388
56.75097026699996,5,48.599999999999994,343112,43.4,202304,2,0,0,4207598356,0,0,0,35364
57.271140981999906,5,48.699999999999996,343472,43.5,202664,2,0,0,4260221888,0,0,0,28844
57.79110091999996,5,48.9,343980,43.7,203172,2,0,0,4314799632,0,0,0,28844
58.311097079999854,5,49.099999999999994,344452,43.9,203644,2,0,0,4369209156,0,0,0,28844
58.83153681099998,5,49.3,344536,44.1,203728,2,0,0,4431782732,0,0,0,35036
59.35171900899991,5,49.4,344644,44.2,203836,2,0,0,4490086744,0,0,0,28844
59.87171060699984,5,49.5,345564,44.300000000000004,204756,2,0,0,4543033040,0,0,0,28844
60.39189208899984,5,49.6,345684,44.5,204876,2,0,0,4591725060,0,0,0,28844
60.91261359800001,5,49.7,345776,44.6,204968,2,0,0,4636807032,0,0,0,28860
61.43292441299991,5,49.800000000000004,345840,44.7,205032,2,0,0,4678803012,0,0,0,28844
61.952850091999835,5,49.800000000000004,345908,44.7,205100,2,0,0,4718267372,0,0,0,28844
62.47288121099996,5,49.900000000000006,345972,44.800000000000004,205164,2,0,0,4756609572,0,0,0,33516
62.99312457699989,5,50.0,346008,44.9,205200,2,0,0,4793564360,0,0,0,28844
63.51346408099994,5,50.1,346040,45.0,205232,2,0,0,4824364948,0,0,0,28844
64.03349721799987,5,50.1,346144,45.0,205336,2,0,0,4851532036,0,0,0,28844
64.55392417799999,5,50.2,346584,45.1,205776,2,0,0,4875634868,0,0,0,28844
65.07400997299987,5,50.300000000000004,346804,45.2,205996,2,0,0,4913124372,0,0,0,28844
65.59416936499997,5,50.800000000000004,348040,45.7,207232,2,0,0,4952552696,0,0,0,28844
66.11422023699993,5,51.199999999999996,348592,46.1,207784,2,0,0,4993609244,0,0,0,28844
66.63413726199997,5,51.400000000000006,349668,46.300000000000004,208860,2,0,0,5034020940,0,0,0,28844
67.15552707999996,5,51.5,349776,46.4,208968,2,0,0,5067144108,0,0,0,28844
67.67575088499984,5,51.599999999999994,349776,46.5,208968,2,0,0,5092562228,0,0,0,28844
68.19588886399993,5,51.599999999999994,349804,46.5,208996,2,0,0,5113958096,0,0,0,28844
68.71582559800004,5,51.599999999999994,350052,46.5,209244,2,0,0,5137684864,0,0,0,31356
69.23570775400003,5,51.699999999999996,350764,46.6,209956,2,0,0,5158316488,0,0,0,32640
69.75562804299989,5,51.8,351928,46.7,211120,2,0,0,5186078612,0,0,0,28844
70.27592129200002,5,51.8,351964,46.7,211156,2,0,0,5220632456,0,0,0,28844
70.79592340299996,5,51.9,352092,46.800000000000004,211284,2,0,0,5255490812,0,0,0,28844
71.31587315899992,5,52.0,352528,46.900000000000006,211720,2,0,0,5304388128,0,0,0,28844
71.83591925099995,5,52.099999999999994,352796,47.0,211988,2,0,0,5358490072,0,0,0,28844
72.35587904099998,5,52.199999999999996,353156,47.1,212348,2,0,0,5405919064,0,0,0,28844
72.87591191499996,5,52.3,353436,47.2,212628,2,0,0,5447638664,0,0,0,28844
73.395949557,5,52.3,353436,47.2,212628,2,0,0,5497691108,0,0,0,32736
73.91598197999997,5,52.4,353584,47.300000000000004,212776,2,0,0,5544410820,0,0,0,28844
74.43618336400004,5,52.300000000000004,353584,47.300000000000004,212776,2,0,0,5596370312,0,0,0,28844
74.95603924900001,5,52.300000000000004,353584,47.300000000000004,212776,2,0,0,5642872924,0,0,0,28844
75.47598928100001,5,52.300000000000004,353748,47.300000000000004,212940,2,0,0,5684275116,0,0,0,28844
75.99641112999984,5,52.400000000000006,353612,47.400000000000006,212804,2,0,0,5732035088,0,0,0,28844
76.51657534699984,5,52.300000000000004,353612,47.300000000000004,212804,2,0,0,5771928396,0,0,0,28844
77.036612117,5,52.300000000000004,353712,47.300000000000004,212904,2,0,0,5817439680,0,0,0,28844
77.55656184099985,5,52.300000000000004,353712,47.300000000000004,212904,2,0,0,5871802872,0,0,0,28844
78.07667094499993,5,52.400000000000006,353712,47.400000000000006,212904,2,0,0,5930834520,0,0,0,28844
78.59677708200002,5,52.300000000000004,353844,47.300000000000004,213036,2,0,0,5982284412,0,0,0,28844
79.11690038300003,5,52.4,354236,47.4,213428,2,0,0,6029212904,0,0,0,28844
79.636891698,5,52.4,354360,47.4,213552,2,0,0,6071719472,0,0,0,28844
80.15669037199996,5,52.3,354444,47.4,213636,2,0,0,6116607796,0,0,0,28844
80.67691063999996,5,52.4,354728,47.5,213920,2,0,0,6161518064,0,0,0,28844
81.19679499999984,5,52.5,354836,47.6,214028,2,0,0,6206948072,0,0,0,28844
81.71684873200002,5,52.5,354836,47.6,214028,2,0,0,6252362376,0,0,0,28844
82.23686641699987,5,52.5,354960,47.6,214152,2,0,0,6296570748,0,0,0,31480
82.75670810899987,5,52.6,354976,47.7,214168,2,0,0,6338210840,0,0,0,31648
83.27681999499987,5,52.6,355144,47.7,214336,2,0,0,6378464820,0,0,0,28844
83.79686520199994,5,52.6,355424,47.7,214616,2,0,0,6415217952,0,0,0,28844
84.31674318399996,5,52.6,355424,47.7,214616,2,0,0,6451470012,0,0,0,28844
84.83689155899992,5,52.800000000000004,355452,47.900000000000006,214644,2,0,0,6478302532,0,0,0,30564
85.357548941,5,52.6,355664,47.7,214856,2,0,0,6504259268,0,0,0,28844
85.8775499809999,5,52.7,355664,47.800000000000004,214856,2,0,0,6523625316,0,0,0,28844
86.39769174999992,5,52.6,355664,47.7,214856,2,0,0,6543387448,0,0,0,28844
86.9177427489999,5,52.7,355840,47.800000000000004,215032,2,0,0,6573104096,0,0,0,33404
87.43785476899984,5,52.800000000000004,356076,47.900000000000006,215268,2,0,0,6613680476,0,0,0,28844
