elapsed_wall,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw
0.8243549850001273,1779099286.5254872,map,5.4509737311416295e-06,6.361353890418116e-06,0.0,0.0,0.0,-9.17612462268495e-05,0.9999999957899369,-0.0001835224927112461
0.8772945190000883,1779099286.5754962,map,-0.009853199552920236,0.008183962506591943,0.0,0.0,0.0,-0.0013758767046540968,0.9999990534811989,-0.0027517542775039685
0.9216454200000044,1779099286.6255605,map,-0.01592149768038529,0.009269015065556632,0.0,0.0,0.0,-0.001726928676318595,0.9999985088575617,-0.0034538590693693055
0.9418934640000316,1779099286.650481,map,-0.015910982245215238,0.010599382883828966,0.0,0.0,0.0,-0.0017025855105485303,0.9999985506002392,-0.0034051726662493688
0.9698173040001166,1779099286.6755145,map,-0.01962172433686307,0.003848493871743688,0.0,0.0,0.0,-0.0010262955026850203,0.9999994733586319,-0.0020525913656965615
0.9982195560000946,1779099286.7005825,map,-0.014243161988787468,0.0035099881429554087,0.0,0.0,0.0,-0.001544997384322398,0.9999988064908291,-0.003089995997957748
1.0267243230000531,1779099286.7255082,map,-0.009764061573394791,-0.0023626614851719793,0.0,0.0,0.0,-0.0016850883291720717,0.9999985802376536,-0.003370178253295023
1.0447941459999583,1779099286.7505755,map,-0.008732365257946876,0.014503904867225085,0.0,0.0,0.0,-0.0024429138010656653,0.9999970160816284,-0.004885832461774045
1.0755910190000577,1779099286.7755687,map,-0.008715526360990981,0.01677791051001999,0.0,0.0,0.0,-0.0024508194976725997,0.9999969967373852,-0.00490164390232081
1.0938117430000602,1779099286.8005843,map,-0.010336655222330527,-0.0011048408697562524,0.0,0.0,0.0,-0.0014937267097047022,0.9999988843896361,-0.002987454530354566
1.1215219810001145,1779099286.8255658,map,-0.0096406737564993,-0.0012074613653059083,0.0,0.0,0.0,-0.0013312027137080582,0.999999113949275,-0.002662406213758482
1.146536302999948,1779099286.850574,map,-0.014992898971157626,0.0030743600800633253,0.0,0.0,0.0,-0.0012151280472659193,0.9999992617316419,-0.0024302566925924075
1.1771408600000086,1779099286.8755429,map,-0.01498669248575516,0.003088187077552824,0.0,0.0,0.0,-0.0012244194157544446,0.9999992503982662,-0.0024488394433936837
1.1951772049999363,1779099286.9004931,map,-0.013097508609593736,-0.009733842568016113,0.0,0.0,0.0,-0.0009785134273674171,0.9999995212556216,-0.001957027167040096
1.2233230780000213,1779099286.9255621,map,-0.010103782048750726,-0.002008342990038932,0.0,0.0,0.0,-0.000876101074675912,0.9999996162233799,-0.0017522023735032648
1.2482556730001306,1779099286.950501,map,-0.012380159723768417,0.014078170162392413,0.0,0.0,0.0,-0.0016243749067200576,0.999998680702211,-0.0032487512421303516
1.2790827210001225,1779099286.9755566,map,-0.012366049288862788,0.016276639575389613,0.0,0.0,0.0,-0.0016333173382049662,0.9999986661363468,-0.0032666361288257954
1.2971648150000874,1779099287.0004964,map,-0.012034750339580274,0.012904392126520677,0.0,0.0,0.0,-0.0014692811597268234,0.9999989206058544,-0.002938563376743092
1.32514477299992,1779099287.0254982,map,-0.014288811449807903,-0.020452532761383372,0.0,0.0,0.0,-0.0010043677228080323,0.9999994956226116,-0.002008735783336379
1.3405897069999355,1779099287.0505092,map,-0.013532401822475991,-0.0007084879794305471,0.0,0.0,0.0,-0.000988524470047628,0.9999995114095668,-0.001977049262084385
1.3756100890000198,1779099287.0755036,map,-0.009542405736769463,0.004332964318661652,0.0,0.0,0.0,-0.0011590216112657458,0.9999993283342268,-0.002318043741515062
1.3934113689999776,1779099287.1004906,map,-0.011422821225523221,0.0032757323533684837,0.0,0.0,0.0,-0.0015141613921434932,0.9999988536569823,-0.0030283239414530773
1.4211227200000849,1779099287.125566,map,-0.011781669267377065,0.013946989031120969,0.0,0.0,0.0,-0.0019308599151025892,0.9999981358882567,-0.0038617222297660627
1.4416006520000337,1779099287.1505983,map,-0.011765022908300733,0.016659803792487514,0.0,0.0,0.0,-0.0018717537343800987,0.9999982482674447,-0.0037435096546363637
1.4698111120001158,1779099287.1755793,map,-0.010422495822491069,-0.005355449626717558,0.0,0.0,0.0,-0.00102353759863518,0.999999476185255,-0.002047075554699826
1.497954529000026,1779099287.2004998,map,-0.013667384849256125,-0.005990025279390381,0.0,0.0,0.0,-0.0012278060067440406,0.9999992462459208,-0.0024556126304641247
1.526526813000146,1779099287.2255592,map,-0.011467149301809903,0.009437400141961576,0.0,0.0,0.0,-0.0017417166479826154,0.9999984832104089,-0.0034834350571780882
1.5443932739999582,1779099287.2505512,map,-0.011138971039422471,0.0024693427801007004,0.0,0.0,0.0,-0.001457446019325225,0.9999989379249864,-0.002914893070595556
1.575042478000114,1779099287.2755492,map,-0.011132532810822503,0.002338724710219385,0.0,0.0,0.0,-0.001459462805899588,0.9999989349835919,-0.0029189266480341746
1.5931253720000313,1779099287.3005457,map,-0.011506693240447681,-0.0007601793474154802,0.0,0.0,0.0,-0.0009285441431261916,0.9999995689027943,-0.0018570885531142864
1.6207107499999438,1779099287.3254902,map,-0.01121173960445204,0.018832226586264957,0.0,0.0,0.0,-0.0015416835842983628,0.9999988116051568,-0.0030833683900165203
1.841283095000108,1779099287.550564,map,-0.01125891888768092,-0.017282627256081623,0.0,0.0,0.0,-0.0010091690419006991,0.9999994907887928,-0.002018338426388259
1.8716919240000607,1779099287.5755577,map,-0.012981435818205489,0.015389512613601379,0.0,0.0,0.0,-0.0017511195359051538,0.9999984667890102,-0.0035022408617018837
1.9247638060001009,1779099287.6254983,map,-0.014547364325934859,-0.0003710421380425681,0.0,0.0,0.0,-0.0009537335505338795,0.9999995451960539,-0.0019074673902423332
1.9427195200000824,1779099287.650549,map,-0.012508207146083397,0.006221014012509898,0.0,0.0,0.0,-0.0010589553089463675,0.9999994393066697,-0.00211791101372561
1.9706748050000442,1779099287.675584,map,-0.010945292449858483,-0.0022762627733641143,0.0,0.0,0.0,-0.0009848132648508715,0.9999995150712991,-0.0019696268480779494
1.9988979649999692,1779099287.7005992,map,-0.013509046880474586,0.004147136408284346,0.0,0.0,0.0,-0.0011882036146244849,0.999999294085836,-0.0023764077884289685
2.027735582000105,1779099287.7255533,map,-0.016222181599764147,0.012456560123525074,0.0,0.0,0.0,-0.0017805262547788742,0.9999984148618717,-0.0035610543911456446
2.048257141000022,1779099287.7505946,map,-0.016207108109776776,0.014873618745927231,0.0,0.0,0.0,-0.0018644599280804412,0.9999982618930778,-0.003728922016582856
