match_id,match_type,min_score,accepted,final_best_score,candidate_count,score_min,score_max,score_mean,score_stddev,score_p50,score_p90,score_p95,score_p99,top1,top2,top3,top1_top2_margin,top1_top3_margin,near_top_0p01,near_top_0p02,near_top_0p05
0,local_window,0.64999997615814209,1,0.7441522479057312,69,0.86150705814361572,0.87181079387664795,0.86624259274938831,0.003215521960100064,0.86469048261642456,0.87019604444503784,0.87053436040878296,0.87153398990631104,0.87181079387664795,0.87153398990631104,0.87087267637252808,0.00027680397033691406,0.00093811750411987305,67,69,69
1,local_window,0.64999997615814209,0,0.64999997615814209,51,0.36522442102432251,0.50128614902496338,0.46066273602784846,0.042904563120175924,0.48152586817741394,0.49896663427352905,0.50003719329833984,0.50128614902496338,0.50128614902496338,0.50128614902496338,0.50005203485488892,0,0.0012341141700744629,18,26,35
2,local_window,0.64999997615814209,0,0.64999997615814209,35,0.30069205164909363,0.45295655727386475,0.37130883761814665,0.045302556458969669,0.36769703030586243,0.43254899978637695,0.43790078163146973,0.45295655727386475,0.45295655727386475,0.44137638807296753,0.43790078163146973,0.011580169200897217,0.01505577564239502,1,3,10
3,local_window,0.64999997615814209,1,0.77275657653808594,35,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,35,35,35
4,local_window,0.64999997615814209,0,0.64999997615814209,37,0.27578037977218628,0.34685489535331726,0.30817382319553477,0.026083435566604082,0.29770982265472412,0.33904314041137695,0.34095686674118042,0.34685489535331726,0.34685489535331726,0.34360784292221069,0.34095686674118042,0.0032470524311065674,0.0058980286121368408,9,15,19
5,local_window,0.64999997615814209,0,0.64999997615814209,51,0.10000002384185791,0.10000002384185791,0.10000002384185791,0,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0,0,51,51,51
6,local_window,0.64999997615814209,0,0.64999997615814209,19,0.39702969789505005,0.42335468530654907,0.40851362598569768,0.0080598605724280879,0.40835177898406982,0.4196738600730896,0.42335468530654907,0.42335468530654907,0.42335468530654907,0.42335468530654907,0.4196738600730896,0,0.0036808252334594727,5,13,19
7,local_window,0.64999997615814209,0,0.64999997615814209,19,0.86570757627487183,0.88533872365951538,0.87256083362980896,0.0065171330863753917,0.86918652057647705,0.88185977935791016,0.88335078954696655,0.88533872365951538,0.88533872365951538,0.88335078954696655,0.88185977935791016,0.0019879341125488281,0.0034789443016052246,7,19,19
8,local_window,0.64999997615814209,0,0.64999997615814209,19,0.85980582237243652,0.8826829195022583,0.86764405275646006,0.0076540229939615805,0.86337792873382568,0.87861382961273193,0.88015139102935791,0.8826829195022583,0.8826829195022583,0.88015139102935791,0.87861382961273193,0.0025315284729003906,0.0040690898895263672,6,10,19
9,local_window,0.64999997615814209,0,0.64999997615814209,37,0.10000002384185791,0.10000002384185791,0.10000002384185791,0,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0,0,37,37,37
10,local_window,0.64999997615814209,0,0.64999997615814209,51,0.25023138523101807,0.26350897550582886,0.25958223027341504,0.0028536730732469425,0.26114487648010254,0.26160579919815063,0.26257225871086121,0.26350897550582886,0.26350897550582886,0.26350897550582886,0.26304805278778076,0,0.0004609227180480957,49,51,51
11,local_window,0.64999997615814209,0,0.64999997615814209,41,0.85326892137527466,0.87409025430679321,0.86664402048762257,0.0058869617226888328,0.86825281381607056,0.87359082698822021,0.87363767623901367,0.87409025430679321,0.87409025430679321,0.87363767623901367,0.87363767623901367,0.00045257806777954102,0.00045257806777954102,27,39,41
12,local_window,0.64999997615814209,0,0.64999997615814209,29,0.2901146411895752,0.31154495477676392,0.30084180934675808,0.005832905624916656,0.30079948902130127,0.30790755152702332,0.30986267328262329,0.31154495477676392,0.31154495477676392,0.30986267328262329,0.30865019559860229,0.001682281494140625,0.0028947591781616211,14,27,29
13,local_window,0.64999997615814209,0,0.64999997615814209,29,0.85492652654647827,0.88063079118728638,0.87157651679269199,0.0073521864779261615,0.87464427947998047,0.87913036346435547,0.87913036346435547,0.88063079118728638,0.88063079118728638,0.87913036346435547,0.87913036346435547,0.0015004277229309082,0.0015004277229309082,18,26,29
14,local_window,0.64999997615814209,1,0.77752578258514404,29,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,29,29,29
15,local_window,0.64999997615814209,0,0.64999997615814209,29,0.86871838569641113,0.88375294208526611,0.87811703723052448,0.0038424261199250347,0.87841808795928955,0.88205546140670776,0.88351041078567505,0.88375294208526611,0.88375294208526611,0.88351041078567505,0.88326793909072876,0.00024253129959106445,0.00048500299453735352,23,29,29
16,local_window,0.64999997615814209,0,0.64999997615814209,51,0.25892949104309082,0.28484529256820679,0.27371547619501752,0.0083405774515704599,0.27788680791854858,0.28136605024337769,0.28136605024337769,0.28484529256820679,0.28484529256820679,0.28484529256820679,0.28136605024337769,0,0.0034792423248291016,29,45,51
17,local_window,0.64999997615814209,0,0.64999997615814209,37,0.10000002384185791,0.10000002384185791,0.10000002384185791,0,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0.10000002384185791,0,0,37,37,37
18,local_window,0.64999997615814209,0,0.64999997615814209,41,0.61352646350860596,0.8012622594833374,0.65848616129014548,0.046813136552023044,0.64210516214370728,0.72287774085998535,0.76239776611328125,0.8012622594833374,0.8012622594833374,0.76455169916152954,0.76239776611328125,0.036710560321807861,0.038864493370056152,1,1,3
19,local_window,0.64999997615814209,0,0.64999997615814209,31,0.82399994134902954,0.83742737770080566,0.82797111234357279,0.0041781284262256916,0.82770192623138428,0.83538818359375,0.83548229932785034,0.83742737770080566,0.83742737770080566,0.83548229932785034,0.83548229932785034,0.0019450783729553223,0.0019450783729553223,17,31,31
20,local_window,0.64999997615814209,0,0.64999997615814209,41,0.48772412538528442,0.61307382583618164,0.53423588304984859,0.041619237842572723,0.5197833776473999,0.60242897272109985,0.6110759973526001,0.61307382583618164,0.61307382583618164,0.61191880702972412,0.6110759973526001,0.0011550188064575195,0.001997828483581543,4,6,12
22,local_window,0.64999997615814209,0,0.64999997615814209,41,0.53091210126876831,0.67716121673583984,0.5953177518960906,0.052688156228178573,0.57055699825286865,0.6695600152015686,0.67310309410095215,0.67716121673583984,0.67716121673583984,0.67416441440582275,0.67310309410095215,0.0029968023300170898,0.0040581226348876953,6,12,15
21,local_window,0.64999997615814209,0,0.64999997615814209,41,0.16940984129905701,0.2674451470375061,0.22125086261004936,0.027901545968643436,0.22485026717185974,0.25533312559127808,0.25950056314468384,0.2674451470375061,0.2674451470375061,0.26346504688262939,0.25950056314468384,0.003980100154876709,0.0079445838928222656,4,8,22
23,local_window,0.64999997615814209,0,0.64999997615814209,41,0.7838435173034668,0.87064087390899658,0.83740447207195001,0.029419206419689696,0.83233827352523804,0.87064087390899658,0.87064087390899658,0.87064087390899658,0.87064087390899658,0.87064087390899658,0.87064087390899658,0,0,17,17,29
24,local_window,0.64999997615814209,1,0.71796113252639771,41,0.83233827352523804,0.87977170944213867,0.85145378985056064,0.021290031812994614,0.83233827352523804,0.87944388389587402,0.87977170944213867,0.87977170944213867,0.87977170944213867,0.87977170944213867,0.87977170944213867,0,0,17,17,41
25,local_window,0.64999997615814209,0,0.64999997615814209,41,0.60860985517501831,0.82086622714996338,0.6620752971346785,0.055844773483312404,0.63945174217224121,0.74385517835617065,0.77984780073165894,0.82086622714996338,0.82086622714996338,0.80137157440185547,0.77984780073165894,0.01949465274810791,0.041018426418304443,1,2,3
26,local_window,0.64999997615814209,0,0.64999997615814209,37,0.15421178936958313,0.23457255959510803,0.16892211461389386,0.02673202619432619,0.15534119307994843,0.21935686469078064,0.22729413211345673,0.23457255959510803,0.23457255959510803,0.23093335330486298,0.22729413211345673,0.0036392062902450562,0.0072784274816513062,3,5,8
27,local_window,0.64999997615814209,0,0.64999997615814209,51,0.60771489143371582,0.71039676666259766,0.67914492125604664,0.036449881156911362,0.70212990045547485,0.71020346879959106,0.71029269695281982,0.71039676666259766,0.71039676666259766,0.71039676666259766,0.71039676666259766,0,0,26,28,36
28,local_window,0.64999997615814209,1,0.80476862192153931,39,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,39,39,39
29,local_window,0.64999997615814209,0,0.64999997615814209,31,0.82399994134902954,0.83797639608383179,0.82799742875560634,0.0039407132678413023,0.82765489816665649,0.83510583639144897,0.83510583639144897,0.83797639608383179,0.83797639608383179,0.83515292406082153,0.83510583639144897,0.0028234720230102539,0.0028705596923828125,9,31,31
30,local_window,0.64999997615814209,0,0.64999997615814209,63,0.23814532160758972,0.24970920383930206,0.24416602627625542,0.0031784075576875436,0.24463200569152832,0.24849674105644226,0.24849674105644226,0.24849674105644226,0.24970920383930206,0.24849674105644226,0.24849674105644226,0.0012124627828598022,0.0012124627828598022,57,63,63
31,local_window,0.64999997615814209,0,0.64999997615814209,63,0.34958606958389282,0.51132893562316895,0.46210983537492301,0.05639196752870522,0.49296009540557861,0.51122289896011353,0.511313796043396,0.511313796043396,0.51132893562316895,0.511313796043396,0.511313796043396,1.5139579772949219e-05,1.5139579772949219e-05,28,32,40
32,local_window,0.64999997615814209,0,0.64999997615814209,63,0.47295442223548889,0.51270812749862671,0.50168240212258841,0.012135138154916458,0.50773704051971436,0.50966179370880127,0.51270812749862671,0.51270812749862671,0.51270812749862671,0.51270812749862671,0.51270812749862671,0,0,44,53,63
33,local_window,0.64999997615814209,0,0.64999997615814209,63,0.7605057954788208,0.77217578887939453,0.76702880859375,0.0027297761210533671,0.76678025722503662,0.76993268728256226,0.771842360496521,0.77210003137588501,0.77217578887939453,0.77210003137588501,0.77191811800003052,7.5757503509521484e-05,0.00025767087936401367,59,63,63
34,local_window,0.64999997615814209,0,0.64999997615814209,63,0.50161409378051758,0.54767262935638428,0.53413990565708702,0.013238076954186396,0.54026138782501221,0.54412615299224854,0.54412615299224854,0.54767262935638428,0.54767262935638428,0.54767262935638428,0.54767262935638428,0,0,38,48,63
35,local_window,0.64999997615814209,0,0.64999997615814209,63,0.71913039684295654,0.77161502838134766,0.75410956238943438,0.020570968658563848,0.76915979385375977,0.77129673957824707,0.77161502838134766,0.77161502838134766,0.77161502838134766,0.77161502838134766,0.77161502838134766,0,0,36,39,57
36,local_window,0.64999997615814209,0,0.64999997615814209,41,0.62395274639129639,0.73898541927337646,0.68745085233595316,0.037684593028441619,0.68527752161026001,0.73502093553543091,0.73669099807739258,0.73898541927337646,0.73898541927337646,0.73719048500061035,0.73669099807739258,0.0017949342727661133,0.0022944211959838867,7,14,20
37,local_window,0.64999997615814209,0,0.64999997615814209,37,0.3960784375667572,0.43239215016365051,0.41035251118041371,0.0093348872031347938,0.40707451105117798,0.42442354559898376,0.42936471104621887,0.43239215016365051,0.43239215016365051,0.43239215016365051,0.42936471104621887,0,0.0030274391174316406,6,10,37
38,local_window,0.64999997615814209,0,0.64999997615814209,31,0.75430583953857422,0.80578821897506714,0.78444980036827827,0.012715580675042611,0.78748232126235962,0.79849410057067871,0.80014115571975708,0.80578821897506714,0.80578821897506714,0.80164700746536255,0.80014115571975708,0.0041412115097045898,0.0056470632553100586,6,16,30
39,local_window,0.64999997615814209,0,0.64999997615814209,25,0.87556320428848267,0.89999997615814209,0.89220910549163823,0.0081311702511437708,0.8952171802520752,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,16,22,25
40,local_window,0.64999997615814209,1,0.83371615409851074,51,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,51,51,51
41,local_window,0.64999997615814209,0,0.64999997615814209,39,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,39,39,39
42,local_window,0.64999997615814209,0,0.64999997615814209,73,0.11383531987667084,0.14393727481365204,0.13113792087525539,0.0074276747405119881,0.13567060232162476,0.13600002229213715,0.14059609174728394,0.14365491271018982,0.14393727481365204,0.14365491271018982,0.14346668124198914,0.00028236210346221924,0.00047059357166290283,41,60,73
43,local_window,0.64999997615814209,0,0.64999997615814209,73,0.10000002384185791,0.13600002229213715,0.12454517471463714,0.014698094683528633,0.13600002229213715,0.13600002229213715,0.13600002229213715,0.13600002229213715,0.13600002229213715,0.13600002229213715,0.13600002229213715,0,0,45,48,73
44,local_window,0.64999997615814209,0,0.64999997615814209,73,0.13600002229213715,0.13600002229213715,0.13600002229213715,0,0.13600002229213715,0.13600002229213715,0.13600002229213715,0.13600002229213715,0.13600002229213715,0.13600002229213715,0.13600002229213715,0,0,73,73,73
45,local_window,0.64999997615814209,0,0.64999997615814209,73,0.8307921290397644,0.86658823490142822,0.8503789183211653,0.01567324615463965,0.84912937879562378,0.86658823490142822,0.86658823490142822,0.86658823490142822,0.86658823490142822,0.86658823490142822,0.86658823490142822,0,0,35,38,73
46,local_window,0.64999997615814209,0,0.64999997615814209,73,0.58277642726898193,0.63072937726974487,0.6037255827694723,0.019666686264456265,0.59077644348144531,0.63041567802429199,0.63041567802429199,0.63041567802429199,0.63072937726974487,0.63041567802429199,0.63041567802429199,0.00031369924545288086,0.00031369924545288086,31,31,73
47,local_window,0.64999997615814209,0,0.64999997615814209,73,0.22668236494064331,0.2595137357711792,0.23490390610204984,0.0092721699093163551,0.23196864128112793,0.25014901161193848,0.2591215968132019,0.25926274061203003,0.2595137357711792,0.25926274061203003,0.25926274061203003,0.00025099515914916992,0.00025099515914916992,8,14,73
48,local_window,0.64999997615814209,1,0.76912939548492432,73,0.86399996280670166,0.86399996280670166,0.86399996280670166,0,0.86399996280670166,0.86399996280670166,0.86399996280670166,0.86399996280670166,0.86399996280670166,0.86399996280670166,0.86399996280670166,0,0,73,73,73
49,local_window,0.64999997615814209,1,0.80094116926193237,37,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,37,37,37
50,local_window,0.64999997615814209,0,0.64999997615814209,41,0.77972334623336792,0.82356917858123779,0.79211565343345081,0.016724897462894597,0.78104192018508911,0.81990146636962891,0.82252341508865356,0.82356917858123779,0.82356917858123779,0.82279622554779053,0.82252341508865356,0.00077295303344726562,0.0010457634925842285,10,11,41
51,local_window,0.64999997615814209,0,0.64999997615814209,25,0.62942713499069214,0.67402529716491699,0.64690961837768557,0.011486659604677645,0.64614373445510864,0.66459816694259644,0.67288732528686523,0.67402529716491699,0.67402529716491699,0.67288732528686523,0.66459816694259644,0.0011379718780517578,0.0094271302223205566,3,4,25
52,local_window,0.64999997615814209,0,0.64999997615814209,39,0.6881568431854248,0.72238427400588989,0.70133209687012887,0.0083285247031083236,0.70078426599502563,0.71060389280319214,0.71758425235748291,0.72238427400588989,0.72238427400588989,0.72021961212158203,0.71758425235748291,0.0021646618843078613,0.0048000216484069824,4,18,39
53,local_window,0.64999997615814209,1,0.81373286247253418,51,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,51,51,51
54,local_window,0.64999997615814209,0,0.64999997615814209,41,0.14117453992366791,0.17640231549739838,0.14782821477913274,0.0097796136548583077,0.14390598237514496,0.16474297642707825,0.17028388381004333,0.17640231549739838,0.17640231549739838,0.17417034506797791,0.17028388381004333,0.0022319704294204712,0.0061184316873550415,4,7,41
55,local_window,0.64999997615814209,0,0.64999997615814209,31,0.45543527603149414,0.69239211082458496,0.56845690742615729,0.077991016200382887,0.55860388278961182,0.68269801139831543,0.68288624286651611,0.69239211082458496,0.69239211082458496,0.68701171875,0.68288624286651611,0.0053803920745849609,0.0095058679580688477,4,5,8
56,local_window,0.64999997615814209,0,0.64999997615814209,71,0.37521868944168091,0.38625943660736084,0.37991650717359193,0.0035360911374049384,0.37963798642158508,0.38580691814422607,0.38580691814422607,0.38601809740066528,0.38625943660736084,0.38601809740066528,0.38580691814422607,0.00024133920669555664,0.00045251846313476562,56,71,71
57,local_window,0.64999997615814209,0,0.64999997615814209,71,0.24610860645771027,0.36538460850715637,0.31281860445586729,0.037836548237056573,0.33677226305007935,0.35384616255760193,0.36153846979141235,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.36538460850715637,0,0,7,9,38
58,local_window,0.64999997615814209,1,0.72607839107513428,71,0.89095020294189453,0.89147812128067017,0.89119766547646317,0.0001641244440329905,0.89119148254394531,0.8914177417755127,0.89146298170089722,0.89147812128067017,0.89147812128067017,0.89147812128067017,0.89147812128067017,0,0,71,71,71
59,local_window,0.64999997615814209,0,0.64999997615814209,71,0.2487330436706543,0.36791855096817017,0.3141903060842568,0.037112361841456845,0.33713424205780029,0.35374057292938232,0.36324283480644226,0.36791855096817017,0.36791855096817017,0.36791855096817017,0.36790347099304199,0,1.5079975128173828e-05,6,9,39
60,local_window,0.64999997615814209,0,0.64999997615814209,71,0.51012063026428223,0.70592755079269409,0.60312533714401895,0.063233387890179474,0.58693814277648926,0.68283551931381226,0.68868774175643921,0.70048260688781738,0.70592755079269409,0.70048260688781738,0.69678729772567749,0.005444943904876709,0.0091402530670166016,3,5,24
61,local_window,0.64999997615814209,1,0.76953238248825073,71,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,71,71,71
62,local_window,0.64999997615814209,1,0.75684762001037598,71,0.87066358327865601,0.88087475299835205,0.8761325579294017,0.0037564784010009917,0.87443435192108154,0.88066357374191284,0.88072395324707031,0.88076919317245483,0.88087475299835205,0.88076919317245483,0.88076919317245483,0.0001055598258972168,0.0001055598258972168,70,71,71
