match_id,match_type,min_score,accepted,final_best_score,candidate_count,score_min,score_max,score_mean,score_stddev,score_p50,score_p90,score_p95,score_p99,top1,top2,top3,top1_top2_margin,top1_top3_margin,near_top_0p01,near_top_0p02,near_top_0p05
0,full_submap,0.5,1,0.76909399032592773,19473,0.10000002384185791,0.89999997615814209,0.44533503445988598,0.27761423524193091,0.40248176455497742,0.85788744688034058,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,1222,1384,2100
1,full_submap,0.5,0,0.5,20984,0.10000002384185791,0.89999997615814209,0.35675711674545441,0.25767080368770678,0.26942324638366699,0.76184624433517456,0.83868610858917236,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,586,733,978
2,full_submap,0.5,1,0.72471439838409424,27826,0.10000002384185791,0.89999997615814209,0.35130752130999088,0.25939136213836494,0.26044654846191406,0.77153283357620239,0.82700729370117188,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,633,728,1126
3,full_submap,0.5,1,0.67962473630905151,19544,0.10000002384185791,0.89999997615814209,0.39433558070685254,0.25271279826855148,0.33712232112884521,0.78489208221435547,0.84664410352706909,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,531,620,942
4,full_submap,0.5,0,0.5,19608,0.10000002384185791,0.89999997615814209,0.41684986912823607,0.26853342822973975,0.35323739051818848,0.82103818655014038,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,1139,1193,1552
5,full_submap,0.5,0,0.5,37457,0.10000002384185791,0.89999997615814209,0.32169669710138882,0.25968381801383755,0.21008606255054474,0.7639356255531311,0.84471428394317627,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,911,1092,1739
6,full_submap,0.5,0,0.5,18438,0.10000002384185791,0.89999997615814209,0.44884591116492656,0.28558485184006555,0.39747291803359985,0.88844758272171021,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,1801,2042,2566
7,full_submap,0.5,0,0.5,23054,0.10000002384185791,0.89999997615814209,0.38258496924996932,0.27493326837361592,0.29350179433822632,0.84223824739456177,0.8991844654083252,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,1451,1689,2204
8,full_submap,0.5,1,0.67217665910720825,16584,0.10000002384185791,0.89999997615814209,0.44836037174483617,0.2929567494112289,0.40455785393714905,0.8805050253868103,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,1448,1677,2257
9,full_submap,0.5,1,0.7195894718170166,15727,0.10000002384185791,0.89999997615814209,0.45397407862794764,0.28531295109885813,0.40732890367507935,0.89948725700378418,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0.89999997615814209,0,0,1866,1993,2261
