elapsed,process_count,total_cpu_percent,total_rss_kb,cartographer_cpu_percent,cartographer_rss_kb
1.3129999842931284e-06,1,0.0,3772,0,0
0.5160632309998618,1,30.7,28708,0,0
1.0317269949998717,5,180.9,231748,36.0,94936
1.5620968589998938,5,98.5,242868,24.599999999999998,99180
2.0918610730000182,5,77.7,243328,27.4,99616
2.611720964999904,5,67.8,243344,28.3,99628
3.1311780940000062,5,63.4,243408,29.599999999999998,99680
3.6508552410000448,5,60.1,243488,30.5,99744
4.1703049459999875,5,58.0,243568,31.400000000000002,99808
4.689743079999971,5,55.6,243608,31.299999999999997,99832
5.209094150000055,5,54.0,243656,31.7,99860
5.728602106999915,5,52.8,243708,32.0,99900
6.248105979000002,5,52.0,243896,32.4,99920
6.7676984189999985,5,51.4,243964,32.9,99972
7.287298258999954,5,50.8,245052,32.9,101044
7.806890361999876,5,50.3,245308,33.3,101288
8.326350389000027,5,49.9,245612,33.5,101572
8.845727943999918,5,49.5,245856,33.8,101800
9.365378726000017,5,49.2,246004,34.1,101932
9.88475839900002,5,48.8,246228,34.199999999999996,102140
10.404078819000006,5,48.6,246912,34.5,102808
10.923374472999967,5,48.3,246996,34.699999999999996,102876
11.443189612999959,5,48.5,247028,35.0,102896
11.96300971300002,5,48.099999999999994,247056,35.0,102916
12.482410596999898,5,48.1,247152,35.300000000000004,103008
13.002204936999988,5,48.0,247244,35.400000000000006,103096
13.521687334000035,5,47.699999999999996,247392,35.5,103244
14.041188407999925,5,47.800000000000004,247552,35.800000000000004,103404
14.560753935999855,5,47.8,247936,36.1,103788
15.080279711999992,5,48.4,248476,36.699999999999996,104328
15.599814573000003,5,48.300000000000004,248580,36.9,104432
16.11949076699989,5,48.2,248672,36.900000000000006,104516
16.63923051300003,5,48.3,248812,37.199999999999996,104656
17.15919398999995,5,48.3,248912,37.2,104752
17.67895614500003,5,48.2,249004,37.300000000000004,104844
18.198454541000046,5,48.199999999999996,249240,37.5,105080
18.71825749599998,5,48.4,249604,37.800000000000004,105444
19.237725846999865,5,48.6,249952,37.900000000000006,105792
19.75744643500002,5,48.6,250156,38.2,105996
