elapsed_wall,clock,odom_stamp,odom_latency_sec,tracked_pose_stamp,tracked_pose_latency_sec,scan_stamp,scan_age_sec,imu_stamp,imu_age_sec,odom_wheel_stamp,odom_wheel_age_sec,tracked_to_odom_stamp_delta_sec,frame_id,child_frame_id,x,y,z,yaw
2.4824255539997466,1779099286.5754638,1779099286.5754638,0.0,1779099286.5754638,0.0,1779099286.5741875,0.001276254653930664,1779099286.5826077,-0.007143974304199219,1779099286.5718584,0.003605365753173828,0.0,map,base_link,-0.003472942021117777,-0.0004953436280511692,0.0,-0.004063340760578993
2.503949852000005,1779099286.6004562,1779099286.6004562,0.0,1779099286.6004562,0.0,1779099286.6041305,-0.0036742687225341797,1779099286.6026154,-0.00215911865234375,1779099286.5916607,0.008795499801635742,0.0,map,base_link,-0.00815321800023531,0.010720698122416085,0.0,-0.0044262371248666565
2.5563218239994967,1779099286.6504602,1779099286.6504602,0.0,1779099286.6504602,0.0,1779099286.6541526,-0.0036923885345458984,1779099286.6526341,-0.002173900604248047,1779099286.6516507,-0.0011904239654541016,0.0,map,base_link,-0.007276845181458258,-0.0006247942095301843,0.0,-0.0036755657792305776
2.6305916089995662,1779099286.7254765,1779099286.7254765,0.0,1779099286.7254765,0.0,1779099286.7241387,0.0013377666473388672,1779099286.7326624,-0.007185935974121094,1779099286.731795,-0.006318569183349609,0.0,map,base_link,-0.008266039609667335,-0.001488949961906586,0.0,-0.003424803468047804
2.652154218999385,1779099286.7504566,1779099286.7504566,0.0,1779099286.7504566,0.0,1779099286.754163,-0.0037064552307128906,1779099286.752669,-0.0022125244140625,1779099286.7518675,-0.0014109611511230469,0.0,map,base_link,-0.009232940779080955,0.0069408519750856785,0.0,-0.0035052497548436782
2.7041797599995334,1779099286.8004553,1779099286.8004553,0.0,1779099286.8004553,0.0,1779099286.8040173,-0.0035619735717773438,1779099286.802656,-0.002200603485107422,1779099286.7919893,0.008466005325317383,0.0,map,base_link,-0.007140306695182766,0.0028329516784640395,0.0,-0.004577669205032507
2.781654927999625,1779099286.8754566,1779099286.8754566,0.0,1779099286.8754566,0.0,1779099286.8741639,0.0012927055358886719,1779099286.8826342,-0.007177591323852539,1779099286.866645,0.008811473846435547,0.0,map,base_link,-0.00684203425324945,0.0006879719118558201,0.0,-0.0038793125766364784
2.8034355439995124,1779099286.900453,1779099286.900453,0.0,1779099286.900453,0.0,1779099286.9041183,-0.0036652088165283203,1779099286.9026413,-0.0021882057189941406,1779099286.8916821,0.008770942687988281,0.0,map,base_link,-0.009072891659292325,0.0012637879052916571,0.0,-0.0035481662088197832
2.855921952999779,1779099286.950452,1779099286.950452,0.0,1779099286.950452,0.0,1779099286.9541755,-0.0037233829498291016,1779099286.952659,-0.0022068023681640625,1779099286.9516332,-0.0011811256408691406,0.0,map,base_link,-0.006627625150003434,0.002716183860219006,0.0,-0.004662921367096195
2.930753755999831,1779099287.0254529,1779099287.0254529,0.0,1779099287.0254529,0.0,1779099287.0241745,0.0012784004211425781,1779099287.0326853,-0.0072324275970458984,1779099287.0316525,-0.00619959831237793,0.0,map,base_link,-0.011521425444042447,-0.002850944071635525,0.0,-0.00299209419441164
2.952847085999565,1779099287.0504515,1779099287.0504515,0.0,1779099287.0504515,0.0,1779099287.0541973,-0.0037457942962646484,1779099287.0526915,-0.0022399425506591797,1779099287.051645,-0.0011935234069824219,0.0,map,base_link,-0.006880421740772258,0.004769950915480413,0.0,-0.0050553337543965075
3.0063414039996132,1779099287.1004522,1779099287.1004522,0.0,1779099287.1004522,0.0,1779099287.1041925,-0.0037403106689453125,1779099287.102697,-0.002244710922241211,1779099287.091628,0.00882411003112793,0.0,map,base_link,-0.007130739574707864,0.003247731690959675,0.0,-0.004781226464793608
3.0815457059998153,1779099287.175455,1779099287.175455,0.0,1779099287.175455,0.0,1779099287.174193,0.0012621879577636719,1779099287.1827202,-0.0072650909423828125,1779099287.17162,0.0038352012634277344,0.0,map,base_link,-0.006723580267456693,-0.001148447812018207,0.0,-0.0038628086457278715
3.1344278799997483,1779099287.2254536,1779099287.2254536,0.0,1779099287.2254536,0.0,1779099287.2241032,0.00135040283203125,1779099287.2327244,-0.00727081298828125,1779099287.2317011,-0.006247520446777344,0.0,map,base_link,-0.00618050874823106,0.001530018560307831,0.0,-0.003955873260209327
3.1559740449993114,1779099287.250453,1779099287.250453,0.0,1779099287.250453,0.0,1779099287.2540998,-0.0036468505859375,1779099287.25273,-0.002276897430419922,1779099287.2517009,-0.0012478828430175781,0.0,map,base_link,-0.007965068862233105,0.0030727356108145223,0.0,-0.0037302844996496584
3.2291497739997794,1779099287.3254526,1779099287.3254526,0.0,1779099287.3254526,0.0,1779099287.3240175,0.0014350414276123047,1779099287.3227482,0.0027043819427490234,1779099287.3316724,-0.0062198638916015625,0.0,map,base_link,-0.005761676562862902,0.0012556990884461164,0.0,-0.005441615641883095
3.4538649989999612,1779099287.5504503,1779099287.5504503,0.0,1779099287.5504503,0.0,1779099287.5542126,-0.0037622451782226562,1779099287.5527916,-0.0023412704467773438,1779099287.5519161,-0.0014657974243164062,0.0,map,base_link,-0.011793315087491889,-0.004505997896000635,0.0,-0.0030723337379254478
3.5311998850002055,1779099287.6254501,1779099287.6254501,0.0,1779099287.6254501,0.0,1779099287.6241016,0.0013484954833984375,1779099287.6327987,-0.007348537445068359,1779099287.6319213,-0.006471157073974609,0.0,map,base_link,-0.011019404203010705,-0.0018762640951099554,0.0,-0.002496220824851056
3.5528985099999773,1779099287.6504514,1779099287.6504514,0.0,1779099287.6504514,0.0,1779099287.65411,-0.0036585330963134766,1779099287.6528025,-0.002351045608520508,1779099287.6518068,-0.0013554096221923828,0.0,map,base_link,-0.007044457234106757,0.004020873982627469,0.0,-0.004982713828208281
