stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw
639049412035580589,nan,nan,0,0,203,0,1,1,0,0,-1.2288753998765385e-17,0,0,-1.2288753998765385e-17
639049412035780397,nan,350.9483639061732,0.0322895575012664,0.0071062513441702124,201,0,0,0,0,0,1.1983496877101943e-14,-0.025580210846717251,0.01970452579142869,-0.0071062513441582289
639049412035980218,nan,333.60385534565972,0.012609692088041051,0.0030949161392167341,200,0,0,0,-0.051162086004878524,0.039410333607777751,-0.0071062513441578551,-0.039673250401658186,0.034213123679616118,-0.010201167483374589
639049412036281017,nan,347.49295042500859,0.043090552982103923,0.0026477899074921051,203,0,0,0,-0.060888098716333217,0.056053529523691019,-0.010201167483373946,-0.029819218927694759,0.026195189566777164,-0.0075533775758818405
639049412036580701,nan,324.90203572569243,0.0040742063844760121,0.00013297285168615593,202,0,0,0,-0.020001714320820218,0.018206976285908446,-0.0075533775758818613,-0.023079192505358455,0.015537091328275189,-0.0074204047241957054
639049412036779843,nan,328.80375895410577,0.002337608173230238,0.00086380897097542136,215,0,0,0,-0.018600400371654634,0.0084547145600401136,-0.0074204047241938588,-0.020863694394495244,0.0090394470952446949,-0.0065565957532184374
639049412037085356,nan,335.43864056587921,0.014772056238604553,0.00069914216200950459,202,0,0,0,-0.017464795747579212,-0.00092889098796148685,-0.0065565957532184617,-0.024244789006540958,0.012195336110230963,-0.0072557379152279663
639049412037280642,nan,336.97260417496472,0.0025005828072997929,0.0002039902920256435,200,0,0,0,-0.026406007816895866,0.014212601962029767,-0.0072557379152268916,-0.023925984322784387,0.014532598594540806,-0.0070517476232012481
639049412037580746,nan,341.75118909202331,0.0038483399084484225,0.001316792477666355,202,0,0,0,-0.023436064099040331,0.01812436564692204,-0.0070517476232066396,-0.0271116556243946,0.019264430114266186,-0.0083685401008729947
639049412037780662,nan,327.9655962295999,0.0095390087182694819,0.0020804608010144407,218,0,0,0,-0.029233808824394292,0.022416566807204032,-0.0083685401008718931,-0.021866991154856529,0.016356642323268,-0.0062880792998574525
639049412038080899,nan,332.74454764843415,0.012308836564601881,0.0014629815759228306,211,0,0,0,-0.013990471384849617,0.011989680784392061,-0.0062880792998538347,-0.024348418177871655,0.018639522572510385,-0.0077510608757766653
639049412038280923,nan,339.48363458268983,0.0073693749191575831,0.0014096226481250832,210,0,0,0,-0.026001595364066488,0.020160423857077107,-0.0077510608757760243,-0.031545273218476465,0.025015866426568917,-0.0091606835239011076
639049412038580809,nan,342.14473552491665,0.020628145949007526,0.0013137602390840154,201,0,0,0,-0.042335158785742462,0.034575600523568263,-0.0091606835239066379,-0.026667735768331053,0.02115724513674672,-0.0078469232848226225
639049412038780873,nan,336.07935357669942,0.0028455859225355253,0.00017832862906921702,214,0,0,0,-0.023413767085478598,0.018583029569074379,-0.0078469232848222895,-0.024988674518728257,0.016213003025082239,-0.0076685946557530724
639049412039080952,nan,340.62082110988973,0.0089956445640326493,0.00042984691936795091,200,0,0,0,-0.022470225318874423,0.0087970599837246428,-0.0076685946557521504,-0.022278805075754662,0.01779066768102466,-0.0072387477363841995
639049412039280843,nan,327.17305918476694,0.0044047789716713274,0.00051308559292224682,214,0,0,0,-0.020473685381189446,0.018841594156189488,-0.00723874773638402,-0.024557115516985358,0.017190026381209696,-0.0077518333293062668
639049412039580899,nan,346.9553764268141,0.0089469389219612016,0.0016180659681193817,202,0,0,0,-0.027977082988026664,0.016288404868198714,-0.0077518333293049961,-0.032044696980819548,0.024257233670409224,-0.0093698992974243778
639049412039780759,nan,343.78734627484249,0.019515868769741523,0.0029899873162772834,205,0,0,0,-0.03703199279014148,0.028964528471444421,-0.0093698992974243084,-0.021456843201985772,0.017205113131201284,-0.006379911981147025
639049412040084514,nan,346.35248773817489,0.012697739243743518,0.00037600273276386202,203,0,0,0,-0.0053650112967038067,0.0064870260983427418,-0.0063799119811441801,-0.017631898153824127,0.0097666707035877921,-0.006003909248380318
639049412040280963,nan,335.44862514040722,0.011557585698339536,0.00055512388377225615,200,0,0,0,-0.015158172191234847,0.0049559693934455957,-0.0060039092483803215,-0.021666961059801287,0.014506542917527182,-0.0065590331321525776
639049412040581019,nan,341.34701420201998,0.002076751777004292,0.0019615520067522898,216,0,0,0,-0.027830111980986342,0.021746218848816206,-0.0065590331321526193,-0.029427371775072226,0.020418943785580554,-0.0085205851389049091
639049412040780938,nan,345.52241219850146,0.0061080485677768451,6.9810563920486707e-06,212,0,0,0,-0.034597918438982467,0.024358212685853711,-0.0085205851389049039,-0.028498095038557353,0.024675090880034018,-0.0085275661952969525
639049412041081359,nan,336.97542490955107,0.012344123912897976,0.00085839715343086903,216,0,0,0,-0.027101658249355051,0.031070860998245915,-0.0085275661952969855,-0.023898032763938218,0.019149695831779702,-0.0076691690418661165
639049412041282477,nan,329.53488561873274,0.0012708672561474899,0.00065509834246127701,202,0,0,0,-0.020818503288479274,0.015450698753297134,-0.0076691690418661321,-0.021964921875898401,0.015999176651819748,-0.0070140706994048551
639049412041580739,nan,323.15632757453449,0.0059714512811967655,0.00098731220962557705,211,0,0,0,-0.019098079923967039,0.011326893953835401,-0.00701407069940991,-0.024633170205729495,0.013567654087460886,-0.0080013829090354871
639049412041781362,nan,334.37146786815475,0.0040373720765878056,0.00059028839699186431,213,0,0,0,-0.026427941194577233,0.0119321143558512,-0.0080013829090354645,-0.027819553583922817,0.015722073226687505,-0.0085916713060273289
639049412042081262,nan,338.18380859951822,0.0036223961266591363,0.0010430066148324375,215,0,0,0,-0.032582698263845744,0.018942592807463701,-0.008591671306027459,-0.030417244376390498,0.021846480401662222,-0.0096346779208598965
639049412042281163,nan,345.19242615682145,0.0051913817817011605,0.0010504377576972222,218,0,0,0,-0.032148758171339088,0.025928758223218145,-0.0096346779208599,-0.027605307009657215,0.023417285279945542,-0.0085842401631626777
639049412042580361,nan,348.59143024338454,0.010729975386145616,0.001772051205591792,218,0,0,0,-0.023396593515218143,0.025768357450533047,-0.0085842401631628616,-0.03401714864778993,0.024239900560956561,-0.010356291368754654
639049412042781015,nan,347.71241600038235,0.014539992989633949,0.0029189644169117729,200,0,0,0,-0.038317182979763678,0.024791578869621675,-0.01035629136875465,-0.025406372960974505,0.018104099464244974,-0.0074373269518428773
639049412043080797,nan,335.99478485916654,0.012698929448364512,0.00059527551483123161,216,0,0,0,-0.012541662778546537,0.0089370620547022158,-0.0074373269518431635,-0.023859936076392408,0.014695490546036334,-0.0080326024666743951
639049412043280769,nan,339.82416084177919,0.010967004019979713,0.0019673720011476672,213,0,0,0,-0.022828372884861059,0.012421750486286189,-0.0080326024666721833,-0.031523377810215934,0.019105467006479551,-0.0099999744678198506
639049412043585152,nan,332.85886239772486,0.016572893744436257,0.0017545358344282537,213,0,0,0,-0.043188117800146558,0.02581801608814642,-0.0099999744678207127,-0.027381608058468426,0.020836544734157848,-0.008245438633392459
639049412043781141,nan,343.0617268510473,0.0077167871551489927,0.0012499089651446657,201,0,0,0,-0.024714766244453706,0.021951167406153136,-0.0082454386333924157,-0.021879394038901646,0.014774157690829119,-0.00699552966824775
639049412044081362,nan,341.0325329578784,0.013357535189251736,0.001087899429152054,202,0,0,0,-0.013450960835158791,0.0054876370160198487,-0.0069955296682484257,-0.025765663651133731,0.010661788239777932,-0.0080834290974004797
639049412044281419,nan,344.38803145970246,0.0088443897151174247,0.00047434522049569217,216,0,0,0,-0.028355340721739432,0.0079214459743503062,-0.0080834290973932545,-0.027628235171382302,0.016735897003853775,-0.0085577743178889467
639049412044582244,nan,341.68386707447718,0.0034403489904118283,7.9092695791309342e-05,218,0,0,0,-0.030428977347755917,0.025869512768126532,-0.0085577743178796659,-0.028512346206358626,0.023012499249843183,-0.0084786816220883566
639049412044781037,nan,349.34663110990874,0.0037152767955653653,0.00079991671927784683,201,0,0,0,-0.0290965898196755,0.02716024159269026,-0.008478681622084901,-0.029218094969257504,0.023446952192940827,-0.0092785983413627478
639049412045082574,nan,342.95761256085359,0.010607544913507558,0.0018416628103048293,210,0,0,0,-0.0302886023046176,0.024105947414617818,-0.0092785983413644513,-0.022739386655507784,0.016654145473119674,-0.007436935531059622
639049412045280258,nan,331.39732858358957,0.0050608255351021238,0.00022196248765096217,205,0,0,0,-0.018492024062209782,0.012200863774352609,-0.0074369355310586237,-0.023059909866826548,0.014379481311398139,-0.0076588980187095859
639049412045580633,nan,333.92384018955147,0.0091089729424599607,0.0009220976640873001,213,0,0,0,-0.023546935420740239,0.010923196292999553,-0.0076588980187109615,-0.028307914492215473,0.018688920106491924,-0.0085809956827982616
639049412045780398,nan,327.48426229597214,0.0045130511656186695,1.0325925523697876e-05,212,0,0,0,-0.031798110560432927,0.021554921074954381,-0.0085809956827934027,-0.027509411973533814,0.022960159579344858,-0.0085913216083171005
639049412046081316,nan,331.20937555341135,0.012846996843660124,0.00028282968959435391,200,0,0,0,-0.026306579741077439,0.029394183756212472,-0.0085913216083189237,-0.026070000364667442,0.016549365419635243,-0.0083084919187245698
