stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw
639049412035580589,nan,nan,0,0,207,1,1,0,0,4.8917846769830329e-17,0,0,4.8917846769830329e-17
639049412035780397,nan,336.47133049828267,0.033528065348207015,0.0080568675574049457,203,0,0,0,0,9.0980749600547042e-15,-0.027044530394290351,0.019817278868349848,-0.008056867557395847
639049412035980218,nan,343.96393257725509,0.024803752706950472,0.00055412000907336355,201,0,0,-0.054090820372256654,0.039635847097612614,-0.0080568675573954706,-0.033804529819307552,0.025363756712918406,-0.0086109875664688341
639049412036281017,nan,343.44356505225903,0.026422546843473695,0.0021782329790409859,201,0,0,-0.043980642775632212,0.033713104324872997,-0.008610987566461805,-0.022815749671060048,0.017895447053089819,-0.0064327545874208192
639049412036580701,nan,319.38874811554649,0.015774219260867323,0.0014489269740665433,210,0,0,-0.011867702669748854,0.01045482088047598,-0.0064327545874134631,-0.025357118650605623,0.018631718200690029,-0.0078816815614800063
639049412036779843,nan,327.71454152370723,0.0068321174248066651,0.0013575650384768292,200,0,0,-0.027045875145195474,0.019120975247697548,-0.0078816815614809136,-0.021948431628329785,0.014571920609785313,-0.0065241165230040844
639049412037085356,nan,342.06533901344892,0.014004475430346658,0.00097329403089337335,205,0,0,-0.016719006402930031,0.0083435963919403951,-0.0065241165230041078,-0.024490145936732252,0.019994120947742996,-0.0074974105538974812
639049412037280642,nan,336.82317557724684,0.0050007883526717199,0.0010437397594178855,206,0,0,-0.026114827113738415,0.023460028503881045,-0.0074974105538964065,-0.03020990040316042,0.020589791771052274,-0.008541150313314292
639049412037580746,nan,344.79422035177612,0.018549068321600134,0.0022108521951735814,202,0,0,-0.038999681515953753,0.021505183538810368,-0.0085411503133138496,-0.021985161356589424,0.014117759133378231,-0.0063302981181402682
639049412037780662,nan,324.60704784433108,0.0063679329260308698,0.00017336913559959279,200,0,0,-0.016506204290924566,0.0098063774897038901,-0.0063302981181404131,-0.021610975535164414,0.013613197723758819,-0.0065036672537400059
639049412038080899,nan,328.78247357787757,0.016527960618075616,0.00063697905019352661,201,0,0,-0.021049017370399308,0.012855439445582468,-0.0065036672537380326,-0.023093139573865176,0.029256507904983405,-0.0071406463039315592
639049412038280923,nan,328.17872586158387,0.016905991585444993,0.0012702376790654146,200,0,0,-0.024080587422321834,0.039678399529564208,-0.0071406463039315289,-0.028002660059276492,0.023233646636389178,-0.0084108839829969435
639049412038580809,nan,328.48971020615141,0.013167600736863497,0.0015314509824701054,201,0,0,-0.035363259088833233,0.014203871337456807,-0.0084108839829969712,-0.022618305583440582,0.010894510476077725,-0.0068794330005268658
639049412038780873,nan,334.62771748275748,0.01089511924978,0.0013535607950821557,204,0,0,-0.019026222278939423,0.0026626592500233227,-0.0068794330005265353,-0.027320387819386387,0.0097273914781115783,-0.008232993795608691
639049412039080952,nan,338.21786851001957,0.0095363192515152493,0.00060170970922070362,200,0,0,-0.034373111624170762,0.0079768121545417039,-0.0082329937956077612,-0.025350680295993119,0.011065034587453391,-0.0076312840863870576
639049412039280843,nan,335.8566790560406,0.0013032321191056248,0.00046285810768724022,200,0,0,-0.024038603121120491,0.011956076009110502,-0.0076312840863868633,-0.023784752754035379,0.013234345913081995,-0.0071684259786996231
639049412039580899,nan,345.36600902447395,0.0016829423407505586,0.001411231175651886,200,0,0,-0.021434141898470736,0.016490695018958779,-0.0071684259786955248,-0.020429997613046945,0.015140143584787642,-0.0057571948030436387
639049412039780759,nan,328.53374810865051,0.0053695952779500679,0.0002899163238757798,202,0,0,-0.018195476848663135,0.016409549037993347,-0.0057571948030436726,-0.020209775061826186,0.011432084205628199,-0.0060471111269194524
639049412040084514,nan,335.41820544943022,0.01195789358251682,0.001214901561381875,201,0,0,-0.019875072264637847,0.0057964313650569156,-0.0060471111269195018,-0.023807832489069685,0.017089111115582201,-0.0072620126883013768
639049412040280963,nan,330.67758988043607,0.0053857130630270726,0.0005142337466711791,206,0,0,-0.026134822278619019,0.02074770860182458,-0.0072620126883013595,-0.023389519890309522,0.016114219636260658,-0.0067477789416301804
639049412040581019,nan,333.13970756019432,0.0043511806948050274,0.0012303508126592132,203,0,0,-0.0227505896583736,0.014625171396161167,-0.0067477789416302237,-0.025899549535537605,0.011622368517040526,-0.0079781297542894369
639049412040780938,nan,324.8704062898999,0.010846739627887195,0.0001074890320118,204,0,0,-0.027571912749885436,0.0086295725592747431,-0.0079781297542894387,-0.025971332487942794,0.019357568801828991,-0.0080856187863012387
639049412041081359,nan,343.35253756647029,0.010052128670119944,0.00078553547042322855,201,0,0,-0.026079201706698987,0.030981359460828063,-0.0080856187862959825,-0.027966520587271743,0.021107995381463778,-0.008871154256719211
639049412041282477,nan,334.62915528417335,0.0066818959899903494,0.0022269320615924378,203,0,0,-0.02930220697457769,0.0222798252230627,-0.0088711542567192197,-0.023763586184275261,0.018541989784967704,-0.0066442221951267819
639049412041580739,nan,323.64898760345466,0.007075690333510516,0.00075114186761983132,204,0,0,-0.017530550747832295,0.014736552373984538,-0.0066442221951268227,-0.022939616605259852,0.019298065307841641,-0.007395364062746654
639049412041781362,nan,332.83487434095036,0.010081788434322699,0.00039075838900092062,203,0,0,-0.022385381574143558,0.019806632070035746,-0.0073953640627466566,-0.023400539836827005,0.0097760831450691543,-0.007004605673745736
639049412042081262,nan,335.43177862713833,0.018318357308692849,0.0022427108641549639,201,0,0,-0.024089547962251254,-0.0044577905913193369,-0.0070046056737458695,-0.028919170408683744,0.013212437520220596,-0.0092473165379008335
639049412042281163,nan,336.1217373917143,0.0074848820585580482,0.00097058546721328146,207,0,0,-0.0325976624725208,0.015502969950854636,-0.0092473165379008421,-0.027937467027870179,0.021360105585973715,-0.0082767310706875607
639049412042580361,nan,342.93623309290888,0.010580741626989156,0.0023233857439326055,208,0,0,-0.026468121261052319,0.03355497199453196,-0.0082767310706877394,-0.035968986175683546,0.028898185629340774,-0.010600116814620345
639049412042781015,nan,341.07735085263022,0.012633725433490367,0.0013353927103761879,201,0,0,-0.04135524023849594,0.033953519933118785,-0.010600116814620364,-0.031859029540266016,0.025620873252522942,-0.009264724104244176
639049412043080797,nan,332.80996012521598,0.010380322465132088,0.0023924862323792583,207,0,0,-0.025718653469623331,0.020724488137114312,-0.0092647241042444622,-0.020366666075177745,0.011830258242973873,-0.006872237871865204
639049412043280769,nan,338.09179175800722,0.01454425584439711,0.0014191909187514012,205,0,0,-0.012700592372151438,0.0026311173182701,-0.0068722378718629957,-0.025570575629393036,0.0094059906769093961,-0.0082914287906143969
639049412043585152,nan,329.79213773666618,0.020174671082430318,0.00044300445328143354,202,0,0,-0.033491592580969821,0.0057159448976932866,-0.0082914287906153041,-0.026622618907332241,0.024685250471570365,-0.0078484243373338706
639049412043781141,nan,334.22324175381777,0.014705407065978499,7.6532411009274173e-05,205,0,0,-0.027300018466440427,0.034523404533708557,-0.0078484243373338793,-0.024119604776065194,0.02016603828031082,-0.0077718919263246051
639049412044081362,nan,331.71729484261516,0.0049082201519776922,0.00013221609832587359,203,0,0,-0.020285423237799659,0.013243392604930408,-0.0077718919263252435,-0.024718364402749212,0.011136343082879344,-0.0076396758279993699
639049412044281419,nan,329.66420813472962,0.0099615405835355494,0.00016814267440623965,206,0,0,-0.025117357326746949,0.0051192632246663972,-0.0076396758279993447,-0.022906088095762746,0.014832274044465184,-0.0074715331535931051
639049412044582244,nan,334.14321306699645,0.0080037270217476301,0.00075637424216200115,209,0,0,-0.020180974652847961,0.020389832297958242,-0.0074715331535939108,-0.027326938300924454,0.023994669295524493,-0.008227907395755912
639049412044781037,nan,337.63084478418773,0.0062936482281460149,0.0013337998236034546,205,0,0,-0.030248351331206881,0.030049418864688735,-0.008227907395753813,-0.029984866207451985,0.023761288489990279,-0.0095617072193572676
639049412045082574,nan,327.83512210987811,0.012240490630659377,0.0023807397601215514,206,0,0,-0.034016515245147441,0.023407287353338736,-0.0095617072193572607,-0.022993725898005014,0.018084907632970843,-0.0071809674592357093
639049412045280258,nan,332.84364558676651,0.0072742735761265904,0.00090911373272902288,204,0,0,-0.018410419103373793,0.01436354118925405,-0.007180967459234756,-0.025578908796983761,0.015599587941177778,-0.0080900811919637789
639049412045580633,nan,331.70279198681595,0.0092211412086969716,7.9787050076869301e-05,206,0,0,-0.029507017866411439,0.011823218065910471,-0.0080900811919651563,-0.027042700884186525,0.020708969975672939,-0.008010294141888287
639049412045780398,nan,334.34552251117435,0.0066200717100234705,0.00018390978157553292,201,0,0,-0.028016198766167583,0.024106974810033075,-0.0080102941418882748,-0.027024492557136886,0.01756160482501137,-0.0081942039234638078
639049412046081316,nan,331.78138480307092,0.0015335174870161731,9.2505112260270195e-05,207,0,0,-0.026997064262094594,0.012820539941739637,-0.0081942039234656275,-0.025567322845917211,0.013375080621808729,-0.0081016988112053573
639049412046280467,nan,346.05742573802894,0.0020348896674513609,0.00094595670779316823,207,0,0,-0.024602951139475224,0.010604390661115088,-0.0081016988112022625,-0.023539967273117021,0.012339568248154084,-0.0071557421034090943
639049412046581409,nan,340.80498409241432,0.0012005960742542798,0.00014192519876640892,202,0,0,-0.020476380141796389,0.010774779897845144,-0.0071557421034090744,-0.020970005682164967,0.011869204294233774,-0.0070138169046426654
639049412046781075,nan,337.68917327010496,0.0073662444591489629,0.00016759383440385998,205,0,0,-0.019264913169258716,0.0115571319041272,-0.00701381690464157,-0.023433923324170838,0.017630097551995003,-0.0071814107390454299
639049412047084268,nan,325.22626753033563,0.0074144311890509771,0.00052266721426916934,203,0,0,-0.027175384472451897,0.026378019128529814,-0.0071814107390454083,-0.025684040540776561,0.01911512141930748,-0.0077040779533145776
639049412047281400,nan,326.35592839358287,0.0060159717316827233,0.00044353676513966562,204,0,0,-0.027147036411868306,0.020080663912079553,-0.007704077953312208,-0.022086795270614589,0.016827069673584393,-0.0072605411881725423
639049412047581173,nan,325.79720559277962,0.009385370944577932,0.001395754536625154,200,0,0,-0.016616567167758306,0.013347694757433555,-0.007260541188175435,-0.025924830878375084,0.014548283971504067,-0.008656295724800589
639049412047780870,nan,331.31033132152908,0.0018316355284774938,0.00021309168903732752,200,0,0,-0.028481579474022283,0.013030246428602154,-0.0086562957248018189,-0.029059578655939434,0.014768292933988052,-0.0088693874138391464
639049412048086805,nan,324.90236507523025,0.011558275460595947,0.0016026338296028994,200,0,0,-0.033861999630361433,0.015105345778735535,-0.0088693874138439915,-0.02408119165022423,0.021264041004081472,-0.0072667535842410921
639049412048281344,nan,331.6700915574653,0.0040555203011066882,0.00072290003706727314,205,0,0,-0.020915517798900159,0.025394579627671138,-0.0072667535842408648,-0.024325103787756971,0.023198681565993456,-0.007989653621308138
639049412048581698,nan,337.61437809720093,0.010969830958419927,0.00012660364556137116,201,0,0,-0.024701686304149616,0.026185625219104204,-0.0079896536213129674,-0.025582755176502457,0.015251234111297645,-0.0078630499757515963
639049412048782783,nan,325.57615039609425,0.0082317755064123029,0.0016328877740696083,200,0,0,-0.02642474439424514,0.0099304710402964031,-0.0078630499757521236,-0.018254915641521187,0.010938452259930233,-0.0062301622016825153
639049412049081728,nan,318.588808909774,0.012966763304284139,0.00012395958677156264,201,0,0,-0.0073609106695691484,0.0045268125525575742,-0.0062301622016868365,-0.016782492685983225,0.013435838475592739,-0.0063541217884583992
639049412049281104,nan,335.47117786260594,0.0047359710626399699,0.00018482496516032589,201,0,0,-0.01580048663408961,0.015101425369950992,-0.0063541217884594825,-0.019085044163863172,0.018513331543891148,-0.0065389467536198084
639049412049581449,nan,341.70382815842953,0.010454103950888595,0.0020107784803572839,207,0,0,-0.022553665380177335,0.026162194273598262,-0.0065389467536197945,-0.028541751168801345,0.017592998395100461,-0.0085497252339770784
639049412049781495,nan,340.05405118693642,0.0092587775753945004,0.0010421701082180546,204,0,0,-0.034840429054265931,0.016980006785175271,-0.0085497252339763342,-0.026092697919408298,0.013946500203202776,-0.0075075551257582796
639049412050081452,nan,341.28959765494227,0.0074357307370960125,0.00017683010890015213,208,0,0,-0.022420489199772863,0.008478794484782743,-0.007507555125761553,-0.024102882364096967,0.015721697551594416,-0.0076843852346617052
639049412050281797,nan,324.72740005324738,0.0036849283257375889,0.00062014691726860333,200,0,0,-0.02277385987944467,0.016907373874412431,-0.0076843852346617225,-0.026079322483384258,0.015278689208867824,-0.0083045321519303258
639049412050581476,nan,328.03408642513904,0.0065180176394167254,0.00075615947239528018,210,0,0,-0.029035710706239313,0.014616030808907943,-0.0083045321519376377,-0.022711010688631572,0.016191696901397153,-0.0075483726795423575
639049412050781446,nan,335.54863477879513,0.0083992550712483297,0.00065411757871704657,208,0,0,-0.020463401381350464,0.016800929274286443,-0.0075483726795447298,-0.025448567782826167,0.023560781469526261,-0.0082024902582617763
639049412051081913,nan,337.71923694711182,0.013872754468976201,0.00040262147470157029,210,0,0,-0.029561912621658828,0.034633276008367325,-0.0082024902582617833,-0.024751137968874029,0.021621367470546195,-0.007799868783560213
639049412051281444,nan,331.52948180092369,0.0075412311478885155,0.0015759737977109143,203,0,0,-0.024287996032462761,0.020333461595257091,-0.0077998687835602546,-0.030986516898847405,0.016869362083335782,-0.0093758425812711689
639049412051581924,nan,325.0252168813625,0.013924446115199664,0.0011843825634772383,205,0,0,-0.040376569877474282,0.0097131679142643847,-0.0093758425812783507,-0.027771450342563737,0.015629345829584005,-0.0081914600178011124
639049412051881633,nan,323.45055642775861,0.0026668956014808511,0.00059980341774869446,208,0,0,-0.024564633308094816,0.014392511326802818,-0.0081914600177999623,-0.022035600988428276,0.015238872759808829,-0.0075916566000512678
639049412052081763,nan,337.78888145588422,0.0078357256298189314,0.00061904836144948891,206,0,0,-0.018205500686992115,0.014978135259586594,-0.0075916566000505392,-0.024794350717004462,0.019219084614130643,-0.0082107049615000281
639049412052281615,nan,342.20899243886686,0.003210217401907205,4.8042307858381025e-05,208,0,0,-0.027549268274369217,0.023193767567760398,-0.0082107049615000559,-0.026438279367201209,0.020181924375351889,-0.0081626626536416749
639049412052583369,nan,332.08198261632072,0.0056307253346676014,0.00077707670095113549,202,0,0,-0.028920426385552134,0.021635703918751782,-0.0081626626536472433,-0.028252495733631457,0.01604473473276154,-0.0089397393545983788
639049412052781590,nan,340.79512039752558,0.0032846218678531649,0.00039931956780079464,202,0,0,-0.029444247234424056,0.013327031344757068,-0.0089397393546022889,-0.028478911081738303,0.016466596111901884,-0.0093390589224030835
639049412053081731,nan,337.50143835800287,0.0064499288749735543,0.0020781993417193093,200,0,0,-0.028821743218576161,0.017105367464062157,-0.0093390589224030505,-0.022451584880329948,0.016094098341676893,-0.0072608595806837413
639049412053381582,nan,324.15420266033084,0.006967802809604128,0.00019973438993152026,201,0,0,-0.016430082357120866,0.015721960483471138,-0.0072608595806825877,-0.022351505033330731,0.012049491357229941,-0.0074605939706141079
639049412053581671,nan,330.09023751359939,0.0046587581501946361,0.00060273089211036919,204,0,0,-0.022284722276207272,0.0093505463248271595,-0.0074605939706141409,-0.024243712680509698,0.013577410895387229,-0.0080633248627245101
639049412053781581,nan,340.52490344755665,0.005007989750473122,0.00071558185407745271,200,0,0,-0.026134227555128228,0.015103963553819344,-0.0080633248627245049,-0.022497981474520281,0.018547461162662305,-0.0073477430086470522
639049412054081600,nan,340.17213467647491,0.014476200510526631,0.0018964845175388099,212,0,0,-0.019878039847339355,0.026006365225178442,-0.0073477430086565836,-0.030365155700687919,0.016027348124310406,-0.0092442275261953935
639049412054281681,nan,343.23513944659658,0.0087325759540905872,0.00011344663135707568,206,0,0,-0.035611730372111551,0.014346698776014178,-0.0092442275261954508,-0.029653157095887398,0.02073052891988772,-0.0093576741575525264
639049412054582057,nan,330.55128193184032,0.014159203620593195,0.0022549271446268768,202,0,0,-0.028584253537250841,0.027791282487954309,-0.0093576741575619408,-0.021369759679850008,0.015607928042197381,-0.007102747012935064
639049412054781640,nan,339.43408173748543,0.0053234604008747218,6.0309910613308426e-08,200,0,0,-0.015865906820483777,0.012204247152339101,-0.0071027470129348923,-0.020504287574739852,0.0095918431601839643,-0.0071028073228455056
639049412055083664,nan,326.49364296426563,0.0088992580087964724,0.00078497625550077738,206,0,0,-0.019194590120178143,0.00048785123499384304,-0.0071028073228331023,-0.02477693429843042,0.0074185241159384517,-0.0078877835783338797
639049412055281607,nan,341.1566003517616,0.01185980050048365,0.0013385898131852069,202,1,1,-0.027577177028900456,0.0059941562128079402,-0.0078877835783337982,-0.017818159068150485,0.012733327998200542,-0.0065491937651485912
639049412055548426,nan,275.77678345767282,0.0087871363092005706,0.00032447369350131761,209,0,0,-0.008438017066826559,0.019897464426673832,-0.0065491937651599658,-0.0049211495916999769,0.011844799794462468,-0.0062247200716586482
639049412055781335,nan,263.57948034151184,0.013128632340139305,0.0012717440435119007,201,0,0,0.0063367802414476294,0.011069194551191069,-0.0062247200716594505,-0.0064868925524081073,0.013882449462974901,-0.0074964641151713512
639049412056084445,nan,270.58179905183471,0.0013650976458423694,0.0012407961967612902,204,0,0,-0.0085245654152869207,0.016534266228418932,-0.0074964641151758753,-0.0072206366326510642,0.016130210152486207,-0.0087372603119371655
639049412056281828,nan,265.9897070648633,0.0036382155068310049,0.00041602530733403364,201,0,0,-0.0076984453746608813,0.017593935361742946,-0.0087372603119416949,-0.0041250367100324793,0.018277574586556919,-0.0091532856192757285
639049412056581549,nan,262.42066327697415,0.010458952669169155,0.0010205927052526383,204,1,1,0.00057555201547663214,0.021538292153642776,-0.0091532856192753156,0.0042550554895537879,0.011747942562327116,-0.010173878324527954
639049412056881525,nan,240.17121417628107,0.0074482870959700909,0.0010928728992323812,200,0,0,0.012642277398139071,0.0052127551843977778,-0.010173878324527905,0.016920883100353164,0.011309517760468426,-0.011266751223760287
639049412057083299,nan,238.20622292850061,0.0091177015982801431,0.00021023662371693133,208,0,0,0.025440346991935939,0.011014618415286694,-0.011266751223760144,0.034211558363614537,0.0085249731577015254,-0.011056514600043213
639049412057381573,nan,223.78657353100036,0.0045096799962055737,0.0011805944306758388,207,0,0,0.059771634852527983,0.004408698232063463,-0.011056514600056357,0.058176713909291716,0.0086269254489168938,-0.0098759201693805181
639049412057581956,nan,234.09397339928842,0.0085933760365861939,0.00085307795761174754,207,0,0,0.074276708423427817,0.0086954178618345781,-0.0098759201693817949,0.081485310169273587,0.013373256313081391,-0.010728998126993542
639049412057781796,nan,237.73983665471644,0.0090952864985757841,0.00079341850020472199,203,1,1,0.10473074454541716,0.018106725519025174,-0.010728998126995841,0.10958347685973069,0.010414182013994333,-0.0099355796267911189
639049412058082232,nan,199.43305030243195,0.014066106505994089,0.0015310603156512299,203,0,0,0.15182577473710343,0.0059655608864897323,-0.0099355796267925501,0.13832010148114554,0.0020346396024555347,-0.01146663994244378
639049412058281802,nan,209.34160344692725,0.011927379587129857,0.00013315623670378043,207,0,0,0.1574089196510578,-0.0035316216946952653,-0.01146663994244518,0.16745019669486738,0.0029053915214590012,-0.011333483705741399
639049412058581989,nan,204.91661022048564,0.0079252605328875066,0.0010021281555581373,211,0,0,0.21126678181247782,0.0042151495327327083,-0.011333483705752503,0.20506142511112657,0.0091449875344463052,-0.012335611861310641
639049412058881584,nan,206.36210508673756,0.0093174617314939357,0.0023596031186238955,205,1,1,0.24259848027130732,0.015372278414833969,-0.012335611861346876,0.23368047304460698,0.018071211578581204,-0.014695214979970771
639049412059085726,nan,169.48395558976583,0.012353876729280455,0.00056782665042569118,206,0,0,0.25318129810255707,0.024153480070437831,-0.014695214980012901,0.26472683738982339,0.019758165200209853,-0.014127388329587209
639049412059281259,nan,172.92161831741589,0.011461014104426086,0.0035720753483562944,202,1,1,0.29446392608060334,0.021373977245246714,-0.014127388329622464,0.30392072244980095,0.014899114564588178,-0.01055531298126617
