stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,medium_outlier_streak,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw
639132033866493764,nan,nan,0,0,0,0,0,1,1,0,0,8.906339682142156e-18,0,0,8.906339682142156e-18
639132033866694099,0.50963354110717773,27.522075309156232,0.011908047731408463,0.0013546486303938335,0,0,0,0,0,0,0,-1.0385301559695523e-16,-0.010934010029891727,-0.004716887261715012,-0.0013546486303939373
639132033866995036,0.49631991982460022,27.173159146996383,0.011120929368035564,0.0014294048239400247,0,0,0,0,0,-0.027200551619943746,-0.011734206855214015,-0.0013546486304077529,-0.018736105965826772,-0.0045211471869916484,-0.0027840534543477776
639132033867193696,0.50570321083068848,27.388073679161618,0.006683301548216598,0.00055308151630297344,0,0,0,0,0,-0.023834715651686458,-0.0043932325536559028,-0.002784053454347775,-0.017308589727756854,-0.0029523300554248999,-0.0022309719380448016
639132033867393229,0.50895887613296509,27.597612251673844,0.0041280474056122982,0.0010313508144391915,0,0,0,0,0,-0.01589128200375561,-0.001394731914810177,-0.0022309719380447747,-0.012456911573405883,-0.0036851194650125139,-0.0011996211236055831
639132033867693338,0.50320959091186523,28.236281235877811,0.0066113528315323595,0.00023185202397534542,0,0,0,0,0,-0.0052384917557870888,-0.0047753776041606615,-0.0011996211236037439,-0.011836253960050898,-0.0043516794108686488,-0.0014314731475790893
639132033867893372,0.50786781311035156,27.897078285579415,0.0049833715486700594,0.00029736333596291692,0,0,0,0,0,-0.011424437149546558,-0.0047939531943619294,-0.0014314731475790965,-0.016258867483484832,-0.0035847074218277844,-0.0017288364835420134
639132033868193137,0.50749969482421875,26.826918637088486,0.0089922053403621305,0.00018933561494922468,0,0,0,0,0,-0.022829203279681534,-0.002445276294153159,-0.0017288364835420136,-0.013863298295765729,-0.0031325205757815741,-0.0015395008685927889
639132033868493512,0.516643226146698,27.366459919166576,0.00083966615927314608,0.00022511991402000744,0,0,0,0,0,-0.01149055854458828,-0.0026846430066119007,-0.0015395008686093972,-0.012132674266494182,-0.0032256852034041462,-0.0013143809545893897
639132033868693196,0.50881952047348022,27.46631793879703,0.0011361427192311821,0.00027167114513204833,0,0,0,0,0,-0.010993384110691763,-0.0032870165736637348,-0.0013143809545893897,-0.012036941734256429,-0.0037362467649488845,-0.001586052099721438
639132033868893047,0.51442867517471313,27.441997534153113,0.00059025860381112835,0.00029398456040155715,0,0,0,0,0,-0.011940086215318169,-0.0042527974487909506,-0.0015860520997214122,-0.012513337923620147,-0.0043934662026132772,-0.0012920675393198551
639132033869193377,0.51408767700195312,26.969447735052633,0.002170239244218808,0.00063835280487048928,0,0,0,0,0,-0.013226219298757879,-0.0053769322901888322,-0.0012920675393198536,-0.011770907881890166,-0.0037669611547078534,-0.0019304203441903429
639132033869394320,0.50895363092422485,27.400410571364361,0.0016662166554312118,0.0005123896156636117,0,0,0,0,0,-0.011281576689647983,-0.0033540354313320144,-0.0019304203441903123,-0.011730666803525492,-0.0049585902021185586,-0.0014180307285267006
639132033869693367,0.50102949142456055,27.65431635671785,0.0053380514506095929,0.00057214563051505665,0,0,0,0,0,-0.011670599987654004,-0.0067373040310394284,-0.0014180307285267017,-0.015421762273926604,-0.0029394658576306007,-0.0019901763590417583
639132033869993410,0.50594806671142578,27.795582821247795,0.0055211404959928144,0.00036958315829938005,0,0,0,0,0,-0.019084460613013852,-0.00093587547578577414,-0.0019901763590545818,-0.014089116313107643,-0.0032873702561087761,-0.0016205932007552018
639132033870193526,0.51826119422912598,26.865271017152512,0.0009506141900221352,0.00011983657668287171,0,0,0,0,0,-0.013208227183242695,-0.0035173377132294154,-0.0016205932007553262,-0.012291376025414164,-0.0037684378778249845,-0.0015007566240724545
639132033870493209,0.51387161016464233,27.286299553376399,0.0060848398123608633,0.00076179793893069365,0,0,0,0,0,-0.009624564764180419,-0.0044820651797161364,-0.0015007566240724482,-0.015546343320172729,-0.0030828460132231185,-0.0022625545630031419
639132033870693637,0.508309006690979,27.583983398298027,0.004452057127397986,9.9145022566215091e-05,0,0,0,0,0,-0.017705836670953858,-0.002627993187100581,-0.0022625545630031714,-0.013611937987179617,-0.0043775091866292363,-0.0021634095404369563
639132033870893119,0.51532673835754395,26.834308519156497,0.0017991196872869115,0.00062865487728286417,0,0,0,0,0,-0.011706018296590973,-0.0056531074249036792,-0.0021634095404371718,-0.011609633336819067,-0.0038565714278490358,-0.0015347546631543077
639132033871193308,0.51217919588088989,27.714838078132523,0.0042419846289526789,0.00028704869120772369,0,0,0,0,0,-0.0086384019305129709,-0.0030835488863792714,-0.0015347546631543296,-0.01287919676362155,-0.0031840116941758583,-0.0018218033543620533
639132033871493383,0.5182611346244812,27.383129537439952,0.0010483800770085792,9.8573489651086624e-05,0,0,0,0,0,-0.014139255464725926,-0.002516487152639758,-0.0018218033543622916,-0.014898366850319299,-0.003239571304126308,-0.0019203768440133782
639132033871693296,0.50962406396865845,27.500025119133678,0.0030760055009054006,0.00013008097159117088,0,0,0,0,0,-0.016239038368786231,-0.0032764613051858623,-0.0019203768440134762,-0.01339949403323428,-0.0044591691338718431,-0.0017902958724223053
639132033871993528,0.51205921173095703,26.932393793032244,0.0031139215247743966,0.00025515489974982136,0,0,0,0,0,-0.011167015836997684,-0.0062756845393479969,-0.0017902958724223049,-0.012302784674988562,-0.0033762817716901207,-0.0015351409726724835
639132033872193581,0.52436429262161255,26.59381233198372,0.00029553009794498048,9.8745315450527588e-06,0,0,0,0,0,-0.011585965577066959,-0.0026684968546803285,-0.0015351409726742256,-0.011689741604531611,-0.0029452071271947864,-0.0015252664411291729
639132033872395402,0.519245445728302,26.25042516839828,0.0015098855894037653,7.1380232135316839e-05,0,0,0,0,0,-0.011085001219515875,-0.0025199706975776674,-0.0015252664411291633,-0.010273430670190528,-0.0037931979893668869,-0.0014538862089938465
639132033872693448,0.52498263120651245,26.670567508567451,0.0040891688055053116,0.00023906533991043043,0,0,0,0,0,-0.0082066754024543772,-0.0050306307725866781,-0.001453886208993846,-0.012086185208268412,-0.0037380731581994182,-0.0016929515489042765
639132033872993446,0.51036560535430908,27.146052987966662,0.0016113707243997036,0.0012938257761392817,0,0,0,0,0,-0.013894791902064912,-0.0036830744606098373,-0.0016929515489042754,-0.015502487445573037,-0.0037918432559352448,-0.0029867773250435571
639132033873193329,0.50446039438247681,27.445701648164299,0.0050037594152531331,0.00091704725815226198,0,0,0,0,0,-0.017757810651325305,-0.0038273403931249729,-0.0029867773250436395,-0.012754087441418812,-0.0038463752132565122,-0.0020697300668913775
639132033873493684,0.51373696327209473,27.658264375555927,0.0053332201000334577,0.00055120908405557065,0,0,0,0,0,-0.0086652624440498732,-0.0039275030075781652,-0.0020697300668913636,-0.013979914158642224,-0.0034828528214976106,-0.001518520982835793
639132033873693232,0.5060076117515564,27.481763005402634,0.0010390215108299027,3.2072201638580792e-05,0,0,0,0,0,-0.014789835119394643,-0.0032426684621166373,-0.0015185209828354792,-0.015812579925049048,-0.003425858970806871,-0.0014864487811968984
639132033873894891,0.50467163324356079,27.390900222355366,0.00092904714781000459,0.00069476335322727484,0,0,0,0,0,-0.017649938508590202,-0.0033687191787644811,-0.0014864487811965827,-0.016744568451368989,-0.0031603117356604452,-0.0021812121344238575
639132033874193768,0.51177948713302612,27.419035257676303,0.0040566344857806483,0.00042436176100115949,0,0,0,0,0,-0.018117038084587839,-0.0027692602300557704,-0.0021812121344263551,-0.014162181087587301,-0.0036722494240668166,-0.0017568503734251956
639132033874493418,0.51280087232589722,27.037268114650487,0.00086716845445608082,0.00022946528077104279,0,0,0,0,0,-0.011610438808628557,-0.0041781119689430941,-0.0017568503734208582,-0.011915530764596007,-0.0033663853974870996,-0.0015273850926498154
639132033874693336,0.50992685556411743,27.918645276811478,0.0030527027280783151,0.00059505029658217046,0,0,0,0,0,-0.010442466280430508,-0.0031658390864178539,-0.0015273850926499099,-0.013088302374809123,-0.0046885161065702259,-0.0021224353892320804
639132033874993496,0.4976922869682312,27.744258795029214,0.0040976054070682357,0.00015232702739412024,0,0,0,0,0,-0.014836938880837302,-0.0066598513635888999,-0.002122435389251367,-0.017604122822268059,-0.0036377555500312657,-0.0019701083618572468
639132033875193296,0.51813864707946777,27.09225084381367,0.0070336444651692498,0.00063047554929776756,0,0,0,0,0,-0.020580282649716296,-0.0029452498596426878,-0.0019701083618573301,-0.013786961883386904,-0.0047681452017190934,-0.0026005839111550976
639132033875493187,0.50417613983154297,27.814968260349641,0.0088100954941774928,0.00024643812123108493,0,0,0,0,0,-0.0081157169588512729,-0.0064475914387334627,-0.0026005839111550937,-0.016724604469869814,-0.0045754700646886172,-0.0028470220323861786
639132033875693188,0.50543147325515747,27.027357378086446,0.004486051704095489,0.00044814349198105206,0,0,0,0,0,-0.018664326375451352,-0.0044482469008910105,-0.0028470220323861643,-0.014336273960745305,-0.0032681527574536387,-0.0023988785404051123
639132033875895067,0.50940573215484619,28.007826968121396,0.0024136099354871016,0.00040408521507380186,0,0,0,0,0,-0.011950988043301795,-0.0019625019898298355,-0.0023988785404051131,-0.013751083522652682,-0.0035703481223632169,-0.0019947933253313113
639132033876193508,0.52206605672836304,26.281975965023669,0.0014706548867830752,0.00065841820684450379,0,0,0,0,0,-0.012898958195953185,-0.0040103900425456016,-0.0019947933253314106,-0.011521645976407096,-0.0034947963595858824,-0.0013363751184869068
639132033876394608,0.50769269466400146,28.048598248536226,0.0022418349418140988,0.00023065674882028517,0,0,0,0,0,-0.010038368838199687,-0.003444530675908128,-0.0013363751184870597,-0.011950613061314314,-0.0046146357726850641,-0.0015670318673073448
639132033876693301,0.50728285312652588,27.563209707625955,0.0024805989754957069,0.00058461697737158041,0,0,0,0,0,-0.012584518939455391,-0.0062694778608400727,-0.0015670318673073466,-0.014242805325826171,-0.0044246316509874211,-0.002151648844678927
639132033876994493,0.50433832406997681,27.682724013892138,0.0026881327671787031,0.0003104713260663949,0,0,0,0,0,-0.016528033528811902,-0.0042352047934286581,-0.0021516488446789283,-0.013856404087574936,-0.0039377927851040259,-0.0024621201707453232
639132033877193282,0.51011013984680176,27.501028164384348,0.0016578837402222997,0.0010162673132677914,0,0,0,0,0,-0.013605220420579201,-0.0036213187175723714,-0.0024621201707507559,-0.011978554928002568,-0.0033011033660448399,-0.0014458528574829645
639132033877493356,0.52403718233108521,26.483916242210245,0.0033210241219111987,0.0004483296585299037,0,0,0,0,0,-0.009189168231451451,-0.0023553548823045459,-0.0014458528574886891,-0.012234205560357557,-0.0036808543669835918,-0.0018941825160185928
639132033877693807,0.5219428539276123,26.605195066719851,0.001936457598029596,0.00021658108824184155,0,0,0,0,0,-0.012404435470154221,-0.0039337189033999652,-0.0018941825160185852,-0.010569152565153749,-0.0045514605059973441,-0.0021107636042604267
639132033877894958,0.5086403489112854,28.084017470368423,0.0046687172878266039,8.6460339855392535e-05,0,0,0,0,0,-0.0089141498008293608,-0.0054168116815190431,-0.0021107636042604107,-0.013564976263569556,-0.0050084805326624836,-0.0020243032644050181
639132033878193314,0.50884437561035156,27.170885725680886,0.0058302282092824401,0.00010629015791400781,0,0,0,0,0,-0.017967838068818139,-0.0056801475672418819,-0.0020243032644050168,-0.012203665308781213,-0.00480500565602918,-0.001918013106491009
639132033878495988,0.51607358455657959,27.184285818542939,0.0028335320183746336,0.00018362908109990288,0,0,0,0,0,-0.01084082561545033,-0.0046013022791511283,-0.0019180131064910075,-0.013672568914675144,-0.0047019679955077227,-0.0017343840253911046
639132033878693175,0.51283109188079834,27.312066356143518,0.0011346462094576181,0.00039443709684553125,0,0,0,0,0,-0.014621695832815317,-0.0046353905721896087,-0.0017343840253911456,-0.013673247703331127,-0.0040125999441977594,-0.0021288211222366769
639132033878993695,0.519245445728302,26.382547094058399,0.0013546267599641563,0.00035389377275783611,0,0,0,0,0,-0.013674264821926199,-0.0029796288453793575,-0.002128821122236676,-0.012508475981788066,-0.0036695201694445126,-0.0017749273494788399
639132033879193940,0.51018202304840088,27.124512922122513,0.000515103144367419,3.4782510235227028e-05,0,0,0,0,0,-0.011748173523736721,-0.0034455755189794113,-0.0017749273494827487,-0.011904244159251291,-0.0039364657369174759,-0.0017401448392475216
639132033879393022,0.51967334747314453,26.28456962097713,0.00099961762298160441,0.00063248133943018129,0,0,0,0,0,-0.011311731320903179,-0.0041982339357584534,-0.0017401448392531866,-0.010438675722748848,-0.0037113979113038362,-0.0011076634998230053
639132033879693646,0.51726388931274414,27.498569841315099,0.0030064121096177155,0.00061494413378658346,0,0,0,0,0,-0.0082548124819102949,-0.0033760213169319701,-0.0011076634998230068,-0.010648269418882911,-0.0051953282354351964,-0.0017226076336095903
639132033879992959,0.50643396377563477,27.614316085106225,0.0016244988783577763,0.00042496771771586943,0,0,0,0,0,-0.010855285331546361,-0.0066610077670492106,-0.0017226076336095872,-0.011960281117671232,-0.0054702177274402325,-0.0021475753513254567
639132033880193452,0.51718449592590332,26.620808432177409,0.0019418414360347881,0.00011858659251063252,0,0,0,0,0,-0.012830575973080141,-0.0056525597834744066,-0.0021475753513253613,-0.012666904210674268,-0.0037176283332952011,-0.0022661619438359938
639132033880493320,0.49989050626754761,28.286778210732642,0.0048174209594146538,0.0003971056320757171,0,0,0,0,0,-0.013711297346523179,-0.001127290780884064,-0.0022661619438359925,-0.011346845042681079,-0.0053245410716176765,-0.0018690563117602754
639132033880695026,0.51343131065368652,26.785037974185517,0.0011165500665585339,7.208970216320866e-05,0,0,0,0,0,-0.01046801151585665,-0.0063943482615983656,-0.0018690563117607988,-0.0097256403700755958,-0.0055603403881081979,-0.0017969666095975902
639132033880993035,0.51224774122238159,27.666798588628321,0.0047316566912461756,0.00010712723229213306,0,0,0,0,0,-0.0073674052738128366,-0.0059033385506591617,-0.0017969666096010882,-0.011864374283468666,-0.0044316576171651587,-0.0019040938418932213
639132033881193690,0.51771789789199829,26.581767605078515,0.0014936787490180017,0.00012391632748082063,0,0,0,0,0,-0.013295091257506855,-0.0036766195132755704,-0.0019040938418933024,-0.011886665308376263,-0.003179213691955016,-0.002028010169374123
639132033881493127,0.4995611310005188,28.329368694591217,0.0030202569378505618,0.00084841672807864192,0,0,0,0,0,-0.011919476883517223,-0.0013356619426649291,-0.0020280101693741235,-0.013983031813080441,-0.0035410401468081078,-0.0028764268974527654
639132033881693255,0.51358723640441895,27.348741030907327,0.0023092223597881417,0.00069283197927909801,0,0,0,0,0,-0.015373950541832965,-0.0037811084704929077,-0.0028764268974528647,-0.013086217293730945,-0.0040954084744287888,-0.0021835949181737667
639132033881993066,0.51230776309967041,27.299423394225308,0.00074639770133186746,0.00012619973835743727,0,0,0,0,0,-0.011755018799763104,-0.0049182924341659821,-0.0021835949181737541,-0.011811783953212938,-0.0041740564192437584,-0.0020573951798163168
639132033882194848,0.50697106122970581,27.168097734534221,0.00084667267545942724,0.00014373845389835859,0,0,0,0,0,-0.010968169447017954,-0.004226117633446898,-0.0020573951798183603,-0.011807527088334846,-0.0043371733371841093,-0.0022011336337167189
639132033882493361,0.51280492544174194,27.329893653835782,0.00096847715558839192,0.0004098745599683401,0,0,0,0,0,-0.011801158611270145,-0.0045812041862989695,-0.0022011336337167103,-0.012761555441765729,-0.0047060478039596988,-0.0017912590737483702
639132033882694172,0.51629114151000977,26.907747023872208,0.0017485335600395,0.00023115400974085538,0,0,0,0,0,-0.013403223434245309,-0.0049541483323367269,-0.001791259073753513,-0.012785980849492434,-0.0033181834176298137,-0.0020224130834943684
639132033882893132,0.51654732227325439,27.002690791704584,0.0031032008296613682,8.9859546089277173e-05,0,0,0,0,0,-0.012809885969238936,-0.001959882065270006,-0.0020224130835020324,-0.010318410653114124,-0.0038098566970830405,-0.0019325535374127552
639132033883193518,0.5085296630859375,27.820922044940509,0.0061619724922637471,0.00088969500556627251,0,0,0,0,0,-0.00663496457488175,-0.0045437981329261813,-0.0019325535374139281,-0.01272631841606672,-0.0054740203520202008,-0.0028222485429802006
639132033883493622,0.50731593370437622,27.718867981031792,0.0029241845382866846,0.00078709485140318614,0,0,0,0,0,-0.015122292660414744,-0.0071299364618300958,-0.0028222485429908383,-0.013814795804862029,-0.0045143471999858987,-0.0020351536915876522
639132033883693291,0.51018416881561279,27.32944573813149,0.00023034503808679562,6.248491865539765e-05,0,0,0,0,0,-0.014533812565763407,-0.0038804148019381886,-0.0020351536915877207,-0.014414703929159757,-0.0040775745576126848,-0.0019726687729323231
639132033883994684,0.51805776357650757,26.858207767095379,0.0030779150581602519,0.00010915298323543659,0,0,0,0,0,-0.015309320894518093,-0.0034262344606121918,-0.0019726687729323049,-0.012293952315345516,-0.004043578316974575,-0.0018635157896968683
639132033884193254,0.51255518198013306,27.316106467002069,0.0014460796009078502,0.00060369317536990803,0,0,0,0,0,-0.010910214573175795,-0.0040213966145270022,-0.001863515789696785,-0.012251104385597509,-0.0045628398000095291,-0.002467208965066693
639132033884493423,0.51594913005828857,27.040619896197828,0.0019449335368468394,8.2283622719038496e-05,0,0,0,0,0,-0.012186402062010793,-0.005346948266837126,-0.002467208965066693,-0.014003252254808075,-0.0046528143894877805,-0.0023849253423476545
639132033884693237,0.50934046506881714,27.71163217439894,0.00023070153998329301,9.9385491087032162e-05,0,0,0,0,0,-0.015160454883540536,-0.0047122379308982823,-0.00238492534234774,-0.015200717691269862,-0.0044850769596369005,-0.0022855398512607078
639132033884993459,0.50446039438247681,27.446127635813003,0.0010097304221522115,0.00085114286461377645,0,0,0,0,0,-0.016985511426736738,-0.0042350683123011171,-0.0022855398512607083,-0.016872450176685351,-0.0032316876870364564,-0.0031366827158744847
639132033885193236,0.49150517582893372,28.207157571330907,0.00091240934196454781,0.00022980590237533551,0,0,0,0,0,-0.017973778810022802,-0.0024059613781469169,-0.003136682715874558,-0.018475605636430425,-0.0031679722990672356,-0.0033664886182498935
639132033885493034,0.51382666826248169,26.584769996825116,0.0086541331122356787,0.0015972434047638914,0,0,0,0,0,-0.020862858013720859,-0.0030730939699102544,-0.003366488618249897,-0.012234719664943355,-0.0037433540378309107,-0.0017692452134860056
