stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,medium_outlier_streak,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw
639132033866493764,nan,nan,0,0,0,0,0,1,1,0,0,8.906339682142156e-18,0,0,8.906339682142156e-18
639132033866694099,0.50985413789749146,27.525904912738472,0.01193572681938237,0.0013400075783636561,0,0,0,0,0,0,0,3.3332576065620177e-15,-0.010952377887406769,-0.0047441535934628848,-0.0013400075783603228
639132033866995036,0.49610558152198792,27.156144444580477,0.011030024253434413,0.0013490021816082419,0,0,0,0,0,-0.027250034520166378,-0.011803678664108315,-0.0013400075783603067,-0.018943819967281034,-0.004546390270170321,-0.0026890097599685486
639132033867193696,0.50823652744293213,27.044433255529412,0.008305263203771911,0.00094109832326881452,0,0,0,0,0,-0.024172051642362566,-0.0044170078056947927,-0.0026890097599679592,-0.015954989058633948,-0.0032098295342639165,-0.0017479114366991447
639132033867393229,0.51371359825134277,27.172834157469516,0.0029347975727460379,0.00079155487208618655,0,0,0,0,0,-0.012992991450119208,-0.0018852682511428557,-0.0017479114366940141,-0.01115119698833833,-0.0041701818060830243,-0.00095635656460782751
639132033867693338,0.50511258840560913,28.212036213807593,0.0081864783499535927,0.00029985047235322505,0,0,0,0,0,-0.0040022998037149661,-0.0055993568311027437,-0.00095635656460600149,-0.012086259829740703,-0.0043078390914348527,-0.0012562070369592265
639132033867893372,0.5081552267074585,27.562633171838975,0.0045776254392540204,0.00048002341216422158,0,0,0,0,0,-0.012707726201708984,-0.0043993295987191537,-0.0012562070369563859,-0.016929078231711636,-0.0026287811806017481,-0.0017362304491206075
639132033868193137,0.50363588333129883,27.00628771429831,0.012217243086920361,0.00033412200069553853,0,0,0,0,0,-0.024114040854669172,-0.00013767634664654067,-0.0017362304491206084,-0.012484444848763739,-0.0038811407026050349,-0.0014021084484250699
639132033868493512,0.51510930061340332,27.379732348316331,0.0033807395835609914,0.00054196500518868807,0,0,0,0,0,-0.0080711873067907149,-0.0051246594879670281,-0.0014021084484416907,-0.011193886998074545,-0.0038292264445749678,-0.00086014344325300262
639132033868693196,0.51351714134216309,26.748585477463497,0.0012475524440792593,0.00037969975258818713,0,0,0,0,0,-0.010349900681469772,-0.0037952760692464478,-0.00086014344325327529,-0.011594047203933413,-0.0037031536975348969,-0.0012398431958414624
639132033868893047,0.51589971780776978,26.817002107764392,0.001105805531377891,0.00015706364445034556,0,0,0,0,0,-0.011992451692784144,-0.0035776340991163034,-0.0012398431958431607,-0.01089111556867889,-0.0036769548671699058,-0.0010827795513928152
639132033869193377,0.52043873071670532,27.072007657064745,0.0029968109137650987,0.0010910143186302155,0,0,0,0,0,-0.0098536168724491363,-0.0036382864519454569,-0.0010827795513925608,-0.012837688926570098,-0.0033622617634193972,-0.0021737938700227763
639132033869394320,0.51389312744140625,26.818978735860956,0.0027862586251355681,0.0008383338298884593,0,0,0,0,0,-0.014129094827015055,-0.003153486415002522,-0.0021737938700223851,-0.011433177200660756,-0.0038572372786286682,-0.0013354600401339258
639132033869693367,0.50242549180984497,28.130485064032417,0.0093635544823329701,0.0011608649196586634,0,0,0,0,0,-0.0093645735826778653,-0.0045862508729522895,-0.001335460040133926,-0.018578724142444113,-0.0029202430681754929,-0.0024963249597925894
639132033869993410,0.50255495309829712,27.257925201982683,0.0095140307336099624,0.00062028680635451534,0,0,0,0,0,-0.02567403009158074,-0.0019898369495256383,-0.0024963249597925821,-0.016234378312254542,-0.0031771680259902683,-0.0018760381534380667
